name,coffee,interior,kind,drink,clean,view,talk,desert,picture,specialmenu,goodprice,focus,toilet,seat
카페희희,0.05215449,0.020134509,0.02035191,0.013830038,0.020673927,0.002783944,0.007358433,0.039067375,0.016820154,0.017434409,0.01150801,0.002470349,0.002746446,0.003495152
이웃집통통이 로데오점,0.0379955,0.022829276,0.022747767,0.015376446,0.018248808,0.00329419,0.00818401,0.049077716,0.01366307,0.020862205,0.007935306,0.002800921,0.003296155,0.004192737
카페 헷지,0.04720695,0.020479833,0.020319868,0.013980312,0.019259303,0.002863762,0.007520876,0.038777041,0.015385546,0.01726524,0.010075291,0.002580962,0.002816625,0.003553487
한남베르그 도산,0.053473862,0.019930886,0.018826794,0.013828672,0.019811586,0.002887151,0.007611784,0.032720839,0.016499957,0.015204083,0.011166848,0.002596421,0.002758085,0.003424502
홍차가게 청담,0.041355211,0.021116949,0.020506928,0.014277501,0.017984869,0.003133205,0.007834837,0.038525709,0.014206672,0.017346608,0.008704468,0.002810468,0.003017763,0.003761668
펠트커피 도산공원점,0.054023977,0.019353166,0.017583436,0.013644506,0.019101306,0.003109171,0.007784326,0.026487546,0.016163575,0.013225207,0.01108025,0.002867304,0.002900728,0.003462238
메종 르자당,0.049806519,0.019786756,0.018973096,0.012685274,0.019640363,0.003141172,0.007334942,0.0282299,0.016395071,0.014570244,0.011019111,0.002863248,0.002816207,0.003289335
앳더스크,0.036232182,0.0207654,0.02103597,0.01407839,0.016903459,0.002828531,0.007467629,0.042072875,0.012408448,0.01839025,0.007336488,0.002487032,0.002813482,0.003598014
우디집 도산점,0.046623666,0.019778715,0.018977604,0.013421007,0.018382449,0.002963729,0.007497818,0.031635712,0.01487277,0.015133647,0.009733955,0.002700689,0.002788563,0.003402656
요굿트,0.025308349,0.021952455,0.022965696,0.014501343,0.015299332,0.002874034,0.007482213,0.049899516,0.009963156,0.021336292,0.004843844,0.002360204,0.002878205,0.003763073
윌비 가로수길점,0.026976466,0.022036475,0.022093454,0.014901385,0.014871395,0.002968623,0.007811403,0.047354581,0.009942406,0.020023502,0.004780516,0.002519844,0.002988767,0.003861306
아가젤라또,0.025517779,0.022071336,0.022567295,0.014563035,0.015077471,0.00305612,0.00770261,0.047543392,0.010057582,0.020437379,0.004843724,0.002612698,0.003034616,0.003863156
Small Batch Seoul,0.051996437,0.017794503,0.017555159,0.012683232,0.018735818,0.002635375,0.006998941,0.026487756,0.015397865,0.013293025,0.010928103,0.00245923,0.002491262,0.00304443
뉴욕라츠오베이글스,0.046009606,0.019172617,0.018566334,0.013211278,0.018048452,0.003293147,0.00763073,0.027573519,0.014745114,0.014458455,0.009870606,0.002990863,0.002977088,0.003544242
페인팅룸,0.044939172,0.019830192,0.018692307,0.013048737,0.017923034,0.003258568,0.007680921,0.026767462,0.015099989,0.013809307,0.009755328,0.003312619,0.003024402,0.003493097
키쏘커피 파랑헌,0.052913329,0.017938309,0.016942833,0.012861602,0.018448459,0.002754163,0.007236902,0.023897444,0.015402396,0.012447875,0.010868758,0.002602583,0.002573311,0.003104086
레스트어와일,0.036819752,0.020671079,0.019793383,0.014192576,0.016177025,0.003148604,0.007871688,0.035741237,0.012334075,0.016351434,0.007231085,0.002874796,0.003033504,0.003747984
키키젤라또,0.024972422,0.021278455,0.022413212,0.014205544,0.014868815,0.002837465,0.007372473,0.047314681,0.009636611,0.020431534,0.004783747,0.002401303,0.002846265,0.003689951
천장지구,0.037301756,0.0207859,0.01950242,0.01424242,0.016003571,0.003160273,0.007940053,0.034455454,0.012311686,0.016038393,0.007117871,0.002853325,0.002995657,0.003704912
위드버터,0.025581339,0.02118374,0.021772616,0.014298821,0.014516859,0.002834411,0.007474362,0.045368021,0.009517528,0.019487623,0.00469247,0.002448515,0.002854059,0.003681448
메이킷 카페,0.03587232,0.019567884,0.019580527,0.013472867,0.015905437,0.002837368,0.007317529,0.035012276,0.011710356,0.016233455,0.007078541,0.002540965,0.002733668,0.003415209
