아프간 하운드,larger hound group
아메리칸 잉글리시 쿤하운드,larger hound group
아메리칸 폭스하운드,larger hound group
아자와크,larger hound group
바센지,hound group
바셋 하운드,hound group
비글,hound group
블랙 앤드 탄 쿤하운드,larger hound group
블러드 하운드,larger hound group
블루틱 쿤하운드,larger hound group
보르조이,larger hound group
시르네코 델레트나,hound group
닥스훈트,hound group
잉글리시 폭스하운드,larger hound group
그랑 바세 그리퐁 방데,hound group
그레이하운드,larger hound group
해리어,hound group
이비전 하운드,larger hound group
아이리시 울프 하운드,larger hound group
노르웨이 엘크 하운드,hound group
오터 하운드,larger hound group
프티 바세 그리퐁 방데,hound group
파라오 하운드,hound group
플롯 하운드,hound group
포르투기스 포덴고 페케노,hound group
레드본 쿤하운드,larger hound group
로디시안 리지백,larger hound group
살루키,larger hound group
스코티시 디어하운드,larger hound group
슬루기,larger hound group
트링 워커 쿤하운드,larger hound group
휘핏,hound group
아메리칸 워터 스패니얼,spaniels group
바벳,sporting group
보이킨 스패니얼,spaniels group
브라코 이탈리아노,sporting group
브리타니,sporting group
체서피크 베이 레트리버,sporting group
클럼버 스패니얼,spaniels group
코커 스패니얼,spaniels group
컬리코티드 레트리버,sporting group
잉글리시 코커 스패니얼,spaniels group
잉글리시 세터,sporting group
잉글리시 스프링어 스패니얼,spaniels group
필드 스패니얼,spaniels group
플랫코티드 레트리버,sporting group
저먼 쇼트헤어드 포인터,sporting group
저먼 와이어헤어드 포인터,sporting group
골든 리트리버,sporting group
고든 세터,sporting group
아이리시 레드 앤드 화이트 세터,sporting group
아이리시 세터,sporting group
아이리시 워터 스패니얼,spaniels group
래브라도 리트리버,sporting group
라고토 로마그놀로,sporting group
네덜란드 쿠이커혼제,sporting group
노바 스코셔 덕 톨링 레트리버,sporting group
포인터,sporting group
스피노네 이탈리아노,sporting group
서식스 스패니얼,spaniels group
비즐라,sporting group
와이마라너,sporting group
웰시 스프링어 스패니얼,spaniels group
와이어헤어드 포인팅 그리펀,sporting group
와이어헤어드 비즐라,sporting group
아키타,working group
알래스칸 맬러뮤트,working group
아나톨리언 셰퍼드 독,working group
버니즈 마운틴 도그,working group
블랙 러시안 테리어,working group
보어보엘,working group
복서,working group
불 마스티프,working group
카네코르소,working group
치누크,working group
도베르만 핀셔,working group
도고 아르헨티노,working group
도그 드 보르도,working group
저먼 핀셔,working group
자이언트 슈나우저,working group
그레이트 데인,working group
그레이트 피레니즈,working group
그레이터 스위스 마운틴 도그,working group
코몬도르,working group
쿠바스,working group
레온베르거,working group
마스티프,working group
나폴리탄 마스티프,working group
뉴펀들랜드,working group
포르투갈 워터 도그,working group
로트와일러,working group
세인트 버나드,working group
사모예드,working group
시베리안 허스키,working group
스탠더드 슈나우저,working group
티베탄 마스티프,working group
에어데일 테리어,terrier group
아메리칸 헤어리스 테리어,terrier group
아메리칸 스태퍼드셔 테리어,terrier group
오스트레일리언 테리어,terrier group
베들링턴 테리어,terrier group
보더 테리어,terrier group
불 테리어,larger terrier group
케언 테리어,terrier group
체스키 테리어,terrier group
댄디 딘몬트 테리어,terrier group
글렌 오브 이말 테리어,terrier group
아이리시 테리어,terrier group
케리 블루 테리어,terrier group
레이크랜드 테리어,terrier group
스탠더드 멘체스터 테리어,terrier group
미니어처 불 테리어,larger terrier group
미니어처 슈나우저,terrier group
노퍽 테리어,terrier group
노리치 테리어,terrier group
파슨 러셀 테리어,terrier group
렛 테리어,terrier group
잭 러셀 테리어,terrier group
스코티시 테리어,terrier group
실리엄 테리어,terrier group
스카이 테리어,terrier group
스무스 폭스 테리어,terrier group
소프트 코티드 휘튼 테리어,terrier group
스태퍼드셔 불 테리어,larger terrier group
웰시 테리어,terrier group
웨스트 하이랜드 화이트 테리어,terrier group
와이어 폭스 테리어,terrier group
아펜핀셔,toy group
뷰어 테리어,toy group
브뤼셀 그리펀,toy group
카바리에 킹 찰스 스파니엘,toy group
치와와,toy group
차이니스 크레스티드,toy group
잉글리시 토이 스패니얼,toy group
허배너스,toy group
이탈리안 그레이하운드,toy group
재퍼니스 친,toy group
몰티즈,toy group
토이 멘체스터 테리어,toy group
미니어처 핀셔,toy group
파피용,toy group
페키니즈,toy group
포메라니안,toy group
토이 푸들,toy group
퍼그,toy group
러시안 토이,toy group
시츄,toy group
실키 테리어,toy group
토이 폭스 테리어,toy group
요크셔 테리어,toy group
아메리칸 에스키모 도그,non-sporting group
비숑 프리제,non-sporting group
보스턴 테리어,non-sporting group
불독,non-sporting group
차이니스 샤페이,non-sporting group
차우차우,non-sporting group
꼬동 드 툴레아,non-sporting group
달마티안,dalmatian
피니시 스피츠,non-sporting group
프렌치 불도그,non-sporting group
케이스혼트,non-sporting group
라사압소,non-sporting group
로첸,non-sporting group
노르웨지언 룬드훈트,non-sporting group
미니어처 푸들,non-sporting group
스탠더드 푸들,non-sporting group
스키퍼키,schipperke
시바 이누,non-sporting group
티베탄 스패니얼,non-sporting group
티베탄 테리어,non-sporting group
숄로이츠퀸틀,non-sporting group
오스트레일리언 캐틀 도그,herding group
오스트레일리언 셰퍼드,herding group
비어디드 콜리,herding group
보스롱,herding group
벨지안라케노이스,herding group
벨지안 말리노이즈,herding group
벨지안 쉽독,herding group
벨지안 터뷰렌,herding group
버가마스코 쉽독,herding group
버거피카드,herding group
보더 콜리,herding group
부비에 데 플랑드르,herding group
브리아드,herding group
케이넌 도그,herding group
카디건 웰시코기,corgis group
콜리,herding group
엔틀부처 마운틴 도그,herding group
피니시 라프훈트,herding group
저먼 셰퍼드,herding group
아이슬란딕 쉽독,herding group
미니어처 아메리칸 셰퍼드,herding group
무디,herding group
노르웨이안 부훈트,herding group
올드 잉글리시 쉽독,herding group
펨브록 웰시 코기,corgis group
폴리시 롤런드 쉽독,herding group
풀리,herding group
푸미,herding group
피레니언 셰퍼드,herding group
셰틀랜드 쉽독,herding group
스패니시 워터 도그,herding group
스위디쉬 발훈트,herding group
재페니스 스피츠,toy group
진돗개,non-sporting group
