,이름,설치지점,주소,lat,lng
0,갤러리아(EAST점),도로변(횡단보도 포함),서울특별시 강남구 압구정동 515,37.52808055,127.0415693
1,갤러리아(WEST점),도로변(횡단보도 포함),서울특별시 강남구 압구정동 394,37.52808838,127.0299913
2,갤러리아(생활관),"정류소(버스, 택시 등)",서울특별시 강남구 압구정동 494,37.52856185,127.0400546
3,한양아파트 35동,도로변(횡단보도 포함),서울특별시 강남구 압구정동 489,37.52915614,127.0381666
4,한양아파트 61동,"정류소(버스, 택시 등)",서울특별시 강남구 압구정동 485,37.52957754,127.0367659
5,현대아파트 91동,도로변(횡단보도 포함),서울특별시 강남구 압구정동 482,37.52992788,127.034867
6,현대아파트 84동,"정류소(버스, 택시 등)",서울특별시 강남구 압구정동 458,37.5296596,127.0308298
7,압구정역 1번출구,지하철역 입구,서울 강남구 압구정동 457,37.52785861,127.0293357
8,신현대아파트 103동,도로변(횡단보도 포함),서울 강남구 압구정동 426,37.5262226,127.0244793
9,현대아파트 101동,도로변(횡단보도 포함),서울 강남구 압구정동 426,37.5262226,127.0244793
10,신사중학교,도로변(횡단보도 포함),서울 강남구 압구정동 410,37.52434139,127.021256
11,신사중학교,"정류소(버스, 택시 등)",서울 강남구 압구정동 410,37.52434139,127.021256
12,미성2차 23동앞,도로변(횡단보도 포함),서울 강남구 압구정동 396,37.52306546,127.0181038
13,덕산빌딩,"정류소(버스, 택시 등)",서울 강남구 신사동 528-3,37.52292045,127.020579
14,신사동사무소,도로변(횡단보도 포함),서울 강남구 신사동 548-1,37.52399981,127.0227421
15,대일부동산,"정류소(버스, 택시 등)",서울 강남구 신사동 574-3,37.5253416,127.0253385
16,압구정역 5번출구,지하철역 입구,서울 강남구 신사동 580-6,37.52665935,127.0279554
17,소망부동산,"정류소(버스, 택시 등)",서울 강남구 신사동 615-1,37.52805874,127.0310215
18,라움,도로변(횡단보도 포함),서울 강남구 신사동 617-3,37.5287676,127.0331986
