,시군구명,도로명(가로)명,설치위치,설치지점,주소좌표,lat,lng
202,강남구,언주로,올리브영 세관사거리점,도로변(횡단보도 포함),서울시 강남구 학동로235 영일빌딩,37.5155803629301,127.035011566563
203,강남구,언주로,포스코주택전시관,"정류소(버스, 택시 등)",서울시 강남구 언주로 832,37.5246039062427,127.033780325868
204,강남구,언주로,강남지인병원,도로변(횡단보도 포함),서울 강남구 언주로 631,37.5127908498374,127.035028360898
205,강남구,언주로,강남 YMCA(논현동225-6),"정류소(버스, 택시 등)",서울 강남구 언주로 615,37.5106397134921,127.036186123171
206,강남구,언주로,스포월드,"정류소(버스, 택시 등)",서울 강남구 언주로98길 14,37.5048440320759,127.042824150655
207,강남구,언주로,르노삼성자동차 강남지점,도로변(횡단보도 포함),서울 강남구 언주로 551,37.5069931349393,127.03965450213
208,강남구,언주로,영동전화국,"정류소(버스, 택시 등)",서울 강남구 언주로98길 5,37.5051770065812,127.042175840233
209,강남구,언주로,역삼 2번지하보도(테헤란로301),기타(지하보도 앞),서울 강남구 테헤란로 301,37.5031256356337,127.043068810036
210,강남구,언주로,서울 전통 육개장,"정류소(버스, 택시 등)",서울 강남구 언주로 516,37.5047682587487,127.042068507617
211,강남구,언주로,LGU+ K버스정류장 IDC논현센터,"정류소(버스, 택시 등)",서울 강남구 언주로 616,37.5110466302839,127.036983945101
212,강남구,언주로,임페리얼 팔레스,"정류소(버스, 택시 등)",서울시 강남구 언주로 640,37.5140981298028,127.03588476883
213,강남구,언주로,세븐일레븐 논현2호점,"정류소(버스, 택시 등)",서울특별시 강남구 논현동 106-7,37.5172806977575,127.035743766988
214,강남구,언주로,두산타워,도로변(횡단보도 포함),서울 강남구 언주로 726,37.5193816410498,127.035197500084
215,강남구,언주로,아크로갤러리,"정류소(버스, 택시 등)",서울특별시 강남구 언주로 812,37.5229623432028,127.033873478875
216,강남구,언주로,윤당 아트홀,"정류소(버스, 택시 등)",서울 강남구 언주로 844,37.5256551200052,127.033729778984
217,강남구,언주로,현대아파트 92동앞,"정류소(버스, 택시 등)",서울 강남구 압구정로 309,37.5319211463698,127.035538506088
218,강남구,선릉로,국대떡볶이 압구정로데오점,"정류소(버스, 택시 등)",서울 강남구 선릉로 815,37.5248658226122,127.03932763326
219,강남구,선릉로,LGU+ 강남구청역점,"정류소(버스, 택시 등)",서울 강남구 선릉로 635 1층,37.5131552963504,127.042473056628
220,강남구,선릉로,KS병원,"정류소(버스, 택시 등)",서울 강남구 선릉로 571,37.5093181916322,127.04394417081
221,강남구,선릉로,선릉역7번출구,지하철역 입구,서울 강남구 역삼동 802-31,37.503582870501,127.049352631759
222,강남구,선릉로,선릉역8번출구,지하철역 입구,서울 강남구 삼성동 141-36,37.5049620806574,127.049037320168
223,강남구,선릉로,아크로텔,"정류소(버스, 택시 등)",서울 강남구 선릉로 524,37.5066550675471,127.04838618187
225,강남구,선릉로,건우한의원,"정류소(버스, 택시 등)",서울 강남구 선릉로 630,37.5128283424352,127.0431622705
226,강남구,선릉로,나래(한미르빌딩),도로변(횡단보도 포함),서울 강남구 선릉로 646,37.5141959676131,127.04269059333
227,강남구,선릉로,도시빌딩,"정류소(버스, 택시 등)",서울 강남구 선릉로 714,37.5186279812865,127.040974181238
228,강남구,선릉로,영동고교입구,"정류소(버스, 택시 등)",서울 강남구 선릉로 742,37.5213890143821,127.043739258782
229,강남구,선릉로,버거킹 청담점,"정류소(버스, 택시 등)",서울 강남구 선릉로 812,37.5243049058338,127.039724864606
230,강남구,선릉로,Tag Heuer,도로변(횡단보도 포함),서울 강남구 선릉로 828,37.5258358967758,127.040233736972
231,강남구,삼성로,청담성모치과,"정류소(버스, 택시 등)",서울 강남구 삼성로 767,37.5231058206903,127.047607421322
232,강남구,삼성로,청기와 아트갤러리,도로변(횡단보도 포함),서울 강남구 삼성로 755,37.5222713073295,127.048064135117
233,강남구,삼성로,피카소 라운지,도로변(횡단보도 포함),서울 강남구 삼성로148길 10,37.523710792146,127.048619033608
234,강남구,삼성로,설빙 청담공원점,"정류소(버스, 택시 등)",서울특별시 강남구 삼성로 725,37.5202181388946,127.049070378982
235,강남구,삼성로,청담역8번 출구,지하철역 입구,서울 강남구 청담동 77-72,37.5196132174516,127.049688292412
236,강남구,삼성로,상아아파트 2동앞(학동로446),"정류소(버스, 택시 등)",서울 강남구 학동로 445,37.51909256106,127.049609103629
237,강남구,삼성로,노브랜드 강남삼성점,도로변(횡단보도 포함),서울 강남구 삼성로 633,37.5162938562313,127.051107823804
238,강남구,삼성로,센트럴 아이파크 304동 앞,"정류소(버스, 택시 등)",서울 강남구 삼성로 629,37.5157864094542,127.051319226082
239,강남구,삼성로,BK타워,도로변(횡단보도 포함),서울 강남구 삼성로 547,37.510349645955,127.054373755707
240,강남구,삼성로,삼성주유소,"정류소(버스, 택시 등)",서울 강남구 삼성로 563,37.5118848636563,127.053592956974
241,강남구,삼성로,리칭,도로변(횡단보도 포함),서울 강남구 삼성로 520,37.5087063025885,127.055920148494
242,강남구,삼성로,홈플러스 익스프레스 삼성2점,"정류소(버스, 택시 등)",서울 강남구 삼성로 548,37.5106173003053,127.055030980435
243,강남구,삼성로,강남구도시관리공단,"정류소(버스, 택시 등)",서울 강남구 삼성로 628,37.5159106576619,127.05214255205
244,강남구,삼성로,청담역6번 출구,지하철역 입구,서울 강남구 삼성동 52,37.5185913044802,127.050736781103
245,강남구,삼성로,청담역9번 출구,지하철역 입구,서울 강남구 청담동 76-4,37.5193631879583,127.050329397246
246,강남구,삼성로,아베뉴 주노,"정류소(버스, 택시 등)",서울 강남구 삼성로 740,37.5215106716182,127.049396790769
248,강남구,삼성로,토담골,"정류소(버스, 택시 등)",서울 강남구 삼성로 766,37.5232603701912,127.048205836123
250,강남구,영동대로,리버뷰오피스텔,"정류소(버스, 택시 등)",서울 강남구 영동대로 721,37.5222044378823,127.055304876582
252,강남구,영동대로,대신증권 청담WM센터,"정류소(버스, 택시 등)",서울 강남구 영동대로 707,37.52070730022,127.055945732383
253,강남구,영동대로,청담역13번 출구,지하철역 입구,서울 강남구 청담동 77-4,37.5231994821198,127.055353915283
255,강남구,영동대로,청담역2번출구,지하철역 입구,서울 강남구 영동대로 647,37.5196502832593,127.056618794604
257,강남구,영동대로,동남철물,"정류소(버스, 택시 등)",서울 강남구 영동대로 613,37.51490245678,127.059349918578
260,강남구,영동대로,무역센터 위 (공항버스정류장 인근),"정류소(버스, 택시 등)",서울 강남구 테헤란로 521,37.5091916919873,127.06080691987
262,강남구,영동대로,무역센터,도로변(횡단보도 포함),서울 강남구 영동대로 513,37.5118239121138,127.059159043842
264,강남구,영동대로,인터콘티넨탈호텔,"정류소(버스, 택시 등)",서울 강남구 테헤란로 521,37.5091916919873,127.06080691987
265,강남구,영동대로,삼성역6번 출구,지하철역 입구,서울 강남구 삼성동 111-8,37.5144631096533,127.060097689629
266,강남구,영동대로,삼성역7번 출구,지하철역 입구,서울 강남구 삼성동 111-8,37.5144631096533,127.060097689629
