동네 애견동반 카페 발견,"달이랑 산책가는길에 늘 지켜보기만했어요
커피사려고 들어와서 여쭤보니 애견동반이라고 
편히 계셔도 된다고 하셨어요 커피는 핸드드립이라  깔꼼
집앞에 이런곳이라니 이런호사가ㅎㅎㅎㅎ
너무 조용하고 좋아용❤️
강변오시면 들러서 맛있는 핸드드립커피한잔하세욥
카페이름은 영감영감🧓🧓
울산 강아지무료분양, 강아지 분양, 애견카페, 애견동반 식당 카페, 애견, 동물병원 
울산 강아지 수제간식, 유치원, 애견, 호텔링, 호텔, 운동장 
울산 강아지 : https://cafe.naver.com/jola3guckji
50m
© NAVER Corp.
영감영감
울산광역시 중구 옥교로 43 1층 영감영감","케이
레몬 마들렌,, 마들렌은 사랑이쥬 달이처럼 🤎
2023.02.02. 15:53"
"애견, 펫 동반 카페 창업?","애견, 펫 동반 카페 창업 문의 좀 드립니다. 강아지 동물을 매우 좋아하는 성격이라... 그리고 커피도 좋아하구여. ㅎ 그래서 애견, 펫 동반 가능한 카페를 창업을 해볼까 생각중인데여... 
혹시 상호명을 적을때 애견동반카페 라고 직접적인 표현으로 간판 제작을 하는게 나을까요? 그리고 어떤식으로 운영하는게 잘 운영할수 있을지... 어드바이스 좀 부탁드립니다.","내꽃
애견 동반 카페에는 상주견이 있는게 더 좋습니다. 우선 첫번째로 애견 동반카페라고
해도 살짝 눈치보이기 마련인데 상주견이 있으면 맘이 더 편해집니다.
2023.01.21. 19:17"
핫한 글을 보다가 ...애견동반카페 생각나서 적어봅니다~,"카페에 핫한 글을 보다가
애견동반카페 생각나서 적어봅니다~
저는 개를 키우지않고,개를 좋아하지만,
음식점에 개가 있다면 싫을것 같은 정도의
사람이구요.
제가 소개?하는 카페는 애견친화적인 카페고
몇번 방문했을때 강아지때문에
제가 불편한적은 없어서 ...
일단 단점을 먼저 말하자면
주차 어렵고(가게앞에 1,2대는 댈수있는정도?)
넓은 대형카페 아님주의...작은공간임.
요정도인것 같아요
장점을 말하자면 창릉천 가까이 있고
라떼,크로플,달고나,빙수가 맛있구요.
작지만 동네사랑방같은 느낌에
세심하게 친절하셔서 좋아요.
(예를 들어서..어제.어른 둘에 아이 넷이 갔거든요.
커피2잔이랑 크로플2개를 시켰어요.
당연히 포크6개 주시구요.물티슈도 주시고,
감사하게도 물도 2잔 주셨어요)
제가 막 포크6개주시구요...
이런 요청이 없어도 서비스를 알아서 해주세요
제가 달달이들을 좋아하는데 ㅋㅋ달고나를
직접만들어 판매하셔서   ㅋㅋ
매번 사고싶어요 ㅋㅋㅋㅋ맛있어요.
그리고 자세히는 모르겠는데
카페가 작다보니
소형견만 입장되고...이런규칙이 있더라구요.
근데 대형견이 오더라도 묶어놓을수있는 
작은야외데크같은게 있어요.
또 주변에 엔담,다크커피,위알커피 같은
다른카페들도 있어서 
나름 골라갈수있어서 또 좋구요 ㅋ
카페거리 이런정도는 아닌데
카페골목? ㅋㅋ
강아지키우시는분들 
참고하심 좋을것같아요
삼송동
카페레슬ㄹ ㅣ ~~
^^
모두 설연휴 고생하셨어요~","노는게제일좋아
여기 흑임자커피에 빠져서 자주갔어요 사장님도 친절하시고 작은강아지도 귀여워요ㅋ
2023.01.24. 17:37"
애견동반카페에서 필요한것!,애견동반 카페를 기면 바라는점…? 뭔가 특별한게 있으면 좋겠다하는 그런 서비스있는지 한번 의견 부탁드려욤 !!,"미코몽이
지금 경주 애견팬션인데 강아지 수영장과 구명조끼구비되어있고 스파시설 있네요 8시까지 이용가능하대요
2023.01.06. 15:36"
인근 애견동반 카페추천부탁드려요,인근 애견동반 실내출입가능한 카페 추천부탁드려용^^,"홍성거지
예산에 애견카페 있습니다
2023.01.09. 14:11"
초월읍 애견동반카페 르꼬리까페 소개합니다.,"크리스마스 이브를 맞아 르꼬리카페를 다녀왔습니다.
대부분의 애견동반까페들이 애견을 동반하면 추운 야외에 자리잡을 수 밖에 없는데 여긴 실내에 자리잡을 수 있고 애견을 위한 자리도 따로 갖추고 있어 너무 좋았습니다.
실내에 손 씻을 수 있는 세면대도 있고 애견이 먹을 수 있는 간식과 음료도 있어 좋았습니다.
직원분들도 모두 친절하시고 음식도 맛있었어요.
반려견과 함께 방문하시면 만족하시지 않을까 싶네요.
크리스마스 이브 잘 보내시고 모두
메리 크리스마스~~","그린라이트
강아지없는데 가고싶어요...다른강쥐들 보러~
2022.12.24. 14:47"
애견동반카페 추천부탁드려요,"강아지 동반 가능한 쇼핑몰이나
애견카페 있으면 
추천부탁드려요 ","오색볼펜
아울렛은 전부 가능해요 롯데는 유모차도 대여되구요
2023.01.04. 12:22"
포천 애견동반 식당 & 진접 애견동반 카페 나들이 🫧,"약간은 밀렸지만 
그래도 정보 공유 + 기록하고자 부랴부랴 
달려왔어요 (?) 😆
이번 주 월요일에 다녀온 
포천 이동면에 있는 ‘이동강변갈비’ 
여기 애견동반 이동갈비 맛집으로
유명하더라구요 ?!
그래서 바로 와봤어요 
애견동반 손님은 아예 분리 되어있는 공간으로
안내를 해주시더라구요 !
마침 평일 점심시간이라 아무도 없어서 
좋았어요 👍🏻
갈비를 주문하면 강아지 고기도 
따로 주시더라구용 (반찬도 여러가지로 알차게 나와요!)
또야는 알러지부자이지만 ,,
다행히 소고기는 가능하다는 점 😆🧡
조곰만 기다려봐 🥹
고기 기다리는 눈빛 ㅋㅋㅋㅋㅋ ㅠㅠ
소고기 냄새에 눈이 돌아서 (?) 
급히 먹을까 봐 잘게 잘라서 줬어여 ,, 
순삭 ㅋㅋㅋㅋㅋㅋ 
그리고 사장님?께서 너무 친절하셔서 ㅠ
가깝다면 단골하고 싶을 정도예요 🥹
나중에 포천에서 밥 먹게 된다면 꼭 ! 여기로
오려구요 🧡🧡
너무 너무 착하고 활발하던 상주견 친구 !!
또야는 겁이 너무 많아서 안고 있었습니닷 🥹
밥 먹고 쉴 겸 집 가는 길에 있는 
애견 동반 카페에 들렀어요 ☕️
‘달빛새 베이커리 앤 카페’
라는 곳이에요 ! 
야외가 엄청 넓고 (4000평이래오 .. ) 루프탑도 있는데 
애견 동반은 야외만 가능해서 날씨 좋을 때 
가시는 걸 추천해요 😅
애견 운동장이 따로 있어요
근데 일반적으로 생각하는 운동장보단 
잠깐 자유롭게 풀어놓을 수 있는 공간 ? 
관리가 조금 덜 된 느낌이었어요 🥲
그리고 또야는 신났지만 가족들은 
덜덜덜덜 떨었습니다 ..? ㅋㅋㅋㅋㅋㅋ
그래도 또야가 행복하면 됐다는 가족들 
이게 맞죠 😂🤍
트리로 꾸며져있는 카페 앞 공간 ! 
예뻐서 찍어봤어요오 ❄️
모래밭에서 그렇게 뛰어놀더니
누래지고 낙엽, 먼지 투성이가 돼서 ㅋㅋㅋㅋ
오자마자 바로 목욕시켰답니다 ..
목욕 하고 가족들 밥 먹는 모습을 관찰하는
견생 2회차 강아지 ..?
표정이랑 자세 넘 웃기지 않나욬ㅋㅋㅋㅋ
아빠라고 불러야 할 것 같은 ..
실컷 노느라 고생한 발도 
촉촉하게 관리 해주고 마무리 🤍🤍
감기 조심하세요 임오들 !!
또야누나는 몸살 걸린지 일주일 됐는데도
두통만 안 나아요 😅 꽁꽁 싸매고 다녀야겠어욤 .. 🥶","뭉이맘 인천궐동staff
와우 이모 고기보니 진짜 침돈다요 ㅋㅋ
이뿌니 또야가 다녀온곳이니 뭉이도 한번 다녀와야겠다요🙆‍♂️좋은정보 감사해요🙏
2022.12.09. 19:20"
여주애견동반카페(1000/110) 계약불발로 급양도 권리금 1200만원 인하,"<점포매도 글 계속 삭제당하시는분> 
1. 작성글 예시 
https://cafe.naver.com/jihosoccer123/563665
2. 점포매도 규정 
https://cafe.naver.com/jihosoccer123/3567
제목에 특수문자 넣으면 무통보 삭제합니다 
주소 ▶   여주시 세종대왕면
업종 ▶   애견동반카페
층수 ▶   1층
면적 ▶   실내 50평 실외(마당) 70평 이상
보증금 ▶   1000
임대료 ▶   110
권리금 ▶  (정확한 금액 필수기재, 미기재시 무통보 삭제) 3300
총금액 ▶   4300
이름 ▶   한영수
근무하는 직원의 수 ▶   대표자 외 주말알바 1인
연락처 ▶ 사기꾼한테 쪽지로 직거래 사이트에 무료로 올려 주겠다고 연락옵니다.  
(무료라고 해놓고 나도 모르게 돈이 빠져나갑니다!!! 계약 사기피해자 속출!!!) 
*사기 컨설팅 업체 때문에 연락처 기재금지* 
네이버 쪽지로 연락처 주고 받으세요 (연락처 기재시 글 삭제..) 
사업자등록증, 신분증 2장 대조사진 첨부  
[이름] [업태] [종목] 이외 전체 모자이크 
▶   
점포상세사진 
▶  
상세내용 
▶  
* 지난 11월에 계약 후 오늘(2월 1일) 잔금 지불 받기로 하였는데, 인수예정자가 전세사기를 당해 약속시간 1시간 전에 전화와서 잔금 지불 못한다고 하네요… 
정말 운영 생각있으신 분만 연락주세요. 
* 다짜고짜 매출 관련해서 문의 주시면 답변하지 않습니다. 인근 경쟁업체 등에서 떠보기 식의 문의 주고, 매출 관련해서 정보만 빼가고 했던 사례가 있었기 때문에 와서 직접 보시고 대화 후에 매출 알려드리겠습니다. 
* 장사 안되고 돈 안되서 내놓은 가게 아닙니다. 돈 벌어서 다른데로 확장이전 하려고 내놓은겁니다. 
* 최대한 빠르게 양도 인수 받으실 분 우선으로 진행합니다.
기존 권리금 4500->3500->3300으로 최종 조절하여 양도합니다. 
찔러보지 마시고 운영 생각 있으신 분만 연락주세요. 
여주에 애견동반카페 입니다. 
- 여주 시내에서 차량 이동 10분 이내, 여주아울렛과 차량 이동 20분 이내에 위치해있습니다. 여주 및 이천 주민들 뿐만 아니라 이천, 원주에서도 고객들이 찾아옵니다. 경기광주 용인 수원 동탄 심지어는 김포나 이천에서 찾아올 만큼 애견인들 사이에서의 평판이 좋은 애견동반카페입니다.
- 남한강변 산책로, 2차선도로와 바로 인접해있어 광고 효과 뛰어납니다. 일대에 더 이상 일반음식점 및 휴게음식점 허가가 나오지 않아, 대형 프랜차이즈 커피브랜드에서도 지속적으로 연락올 정도로 위치 좋습니다.
- 바로 옆에 카페가 2곳 영업 중이긴 하나, 1곳은 로스팅하는 일반카페, 또 다른 한곳은 동네 어르신들이 대추차 쌍화차 드시러 오시는 카페입니다. 전혀 다른 고객층으로 손님 뺏길 일 없으며, 오히려 다른 카페에 왔다가 애견동반되는 카페가 있는 줄 알고 저희 매장 고객이 되는 경우가 많습니다.  
- 단독건물, 단독주차장 사용으로 주변 민원 소지 전혀 없습니다. 차량 주차 20대 이상 가능합니다
- 네이버 및 인스타그램 등 후기 좋고, 활성화 되어있습니다. 돈주고 광고한거 전혀 없이 100% 고객 리뷰로만 블로그 후기 작성 되어 있습니다
- 애견동반카페 특성 상 일반카페에 비해 판매가를 높게 받을 수 있으며, 디저트 및 식사류 펫푸드 판매 등도 함께 되어, 고객 방문 시 결제 금액이 높습니다. 1팀이 방문하더라도 음료 주문 후 페푸드 주문,용품 결제 등의 순서로 재차 삼차 결제하는 경우가 대부분 입니다.  
- 마당 70평, 실내 50평으로 혼자 운영하기에 무리 없는 규모입니다. 주말 바쁜 시간에만 아르바이트생 있었고, 혼자 운영해왔습니다. 
- 프리미엄 브랜드 애견용품 판매, 대관 등으로만 부수입 월 100만원 이상 나옵니다. 부수입만으로도 월 임대료 충당 가능합니다. 노하우 전수해드립니다.
- 단독 사용하는 실내 남여 구분 화장실 있습니다.
- 주 5회 이상 방문하는 충성고객층 매우 두껍게 확보되어 있습니다. 주말 피크 시간에는 실내외 모두 만석인 경우가 많습니다. 
- 단독건물에 충분한 마당 사이즈, 민원소지 없고 주차장 여유 있으면서 이 정도 수준의 보증금과 월 임대료는 매우 저렴합니다. 
- 서울로 확장이전 예정으로 권리금 최소로 설정했습니다. 애견카페 혹은 애견동반카페 운영하고 싶으셨지만, 너무 큰 규모/자본이 부담스러우셨던 분들에게 매우 적합할 것으로 생각합니다. 본인도 그런 생각으로 백방으로 알아보던 중 발견한 위치이며, 일일히 꾸미고 가꾸고 애정을 갖고 신경쓴 매장입니다. 꼭 잘 운영하실 분만 연락주세요","판구
방문의사있습니다. 연락처 쪽지로 부탁드려요
2023.02.01. 19:39"
팔공산 애견동반카페,"쏭누나의 10대마지막 생일을 위해 팔공산 애견동반카페 곳으로 갔어요~
집에서 쪼매 멀지만~~분위기내러갔지요
야외는 날씨 따뜻할때 가면좋겠구요~♡
1층펫동반 자리 예쁜데 좀 추운듯하구요
저희는 식사할거라서 2층  펫룸잡았어요~~3만원이상 2시간 더 시키면 시간연장이래요~~방에서 tv보면서 밥먹고  쏭이는 거울보고 재미있는지~~계속 저러고요~
간만에 나가니 넘 좋네요~♡♡","흑당이맘
우와ㅎㅎ 여기 카페 너무 이쁜것 같아요~^^
쏭이 지대로 좋았겠드아~~😘😚
2023.01.17. 17:25"
