강아지 산책 매너중 끈 짧게 잡기,"요즘은 강아지 산책 매너가 많이 좋아져서
목줄 대부분 하고 산책하죠
큰 변화 같습니다
그런데 자전거 도로 산책하다 보면
목줄이 너무 길어서 지나가는사람이나 자전거와 트러블 나는 경우들이 보이더라고요
강아지나 산책객들이나  자전거탄 사람들에게 매우 위험한 일이죠
인도 산책길에서 사람 지나가더라도 길이 2미터이상  늘려잡고 가는 사람들이 많은데
제발 사람 지나가면 줄 1미터 이내로 짧게 잡아주세요
개는 사람이 아니기 떄문에 어떤 돌발행동 할줄 모릅니다
예전보다는 많이 상황이 좋아졌지만
산책할때 사람없을땐 목줄 길게 메더라도 사람 지나가면 짧게 해주세요","블링블링제이
맞아요 신호등이나 엘리베이터에선 짧게잡아주셨으면 좋겠어요ㅠ 자전거타는분들도 좁은인도에서나 신호등 찻길등등 에서는 기본예의좀 지켜주셨으면 좋겠어요..
2021.02.01. 16:04"
강아지 산책시 배변,"강아지 산책시 배변봉투 챙겨나가시나요?
방금 골목길에서 너무이쁜 주인있는 강아지가 배변보고
치우지도 않고 가시네요?
흠...  어떻게 이해해야 할까요?🤔🤔🤔🤔
이런건 신고 못하나요? 기본 에티켓 아닌가요?","o레나o
배변봉투 롤 가득 들어있는줄 알았는데 한장 남았던거였어요 두번째 볼일은 결국 바로 못치우고 집에가서 다시 봉투 가져왔지유

제 개는 커서... 안치우면 진짜 안되게 해놔서 무조건 치우지만 작은 개들은 그냥 지나가시는 경우 종종 있더라구요 목줄도 잘 안하시고 ㅠㅠ
2022.10.28. 16:33"
매번 강아지 산책시마다 느끼는건데..,"미사에 유기견 없을테고…
들개도 없을테고 ..
근데 진짜로 개x안치우는분들 
정말 많은가봐요..
저도 강아지 키운지 이제 일년됐는데
단한번도 안치운적없고..
심지어 저희 강아지가 싸고나면 봉투묶기전에 
주변 한번 훑어보거든요
다른개가 싸고간거 같이 담으려고…
근데 진짜…
안치우는분들많아요 ㅠㅠㅠㅠㅠㅠ 
신도시고 이렇게 멋진 동네에
예쁘고 멋진분들도 많은데..
왜 내새끼 응가 안치우나요 …
풀숲에싸면 설마 거름될까바 그런가요..
결국엔 다른개나 사람들 또는 아이들이 
밟고 집안에 들어오는건데…
내 강아지가 남의 똥 밟고 우리집 들어온다 생각해바요 ㅠㅠㅠㅠㅠㅠㅠ
전 물론 매일 발바닥 물로 개샴푸해서 닦이지만… 
대형견 키우시는분들은 매일 닦지도 못한데요
중소형견도 물티슈로만 닦이는분들도 많겠죠ㅠㅠ
그만큼 내개가 다른개 응가 밟고..
그거 밟고 집안곳곳 침대며 쇼파며 
돌어다니는건데……….심지어 아기까지 키우면..ㅠㅠ
ㅠㅠㅠㅠ제발 응가 치웠으면 좋겠어요…
미사는 한집걸러 한집 개키우는거같아요 
진짜 강아지 많은데 그만큼 
배변 매너만큼은 지켜주면 정말 좋겠어요 ㅠㅠ","니코나
저도 다른개들꺼 같이 치워요.괜히 욕먹을까봐..
우리 모두 깨끗한 뒷처리 함께해요!
2022.12.16. 12:21"
강아지산책시 매너,"우리 눈에넣어도 안아플 귀요미 봄이랑
산책할때
고민되는부분이있어요.
가정견분양받아
아파트에서 형제들과 부대끼며 자라서
벨소리등에는 전혀 짖음없고
낯가림없고 아주 프렌들리한 아이거든요.
그런데 애기때부터(지금도애기지만) 앞발을 이용?해서 행동을 많이했어요. 장난감,개껌등을 꼭사람처럼잡고먹는등이요.
산책할때 개친구들을 만날때도
두발을번쩍들어서 껴안으려는듯이 몸을 세울때가 있어요.
그게 공격적인 행동이라 비매너라는데 맞나요?ㅡㅡa
그리고 멀리서 개가보이면 반가워서 막다가가고싶어해요. 신나서폴짝폴짝 뛰는데
상대방개는 멀뚱히보고있는데말이죠.
자연스럽게 냄새도맡게하고 해야한다는데
좀흥분한다해야하나..그러다두발들어서 제가황급히 자리를뜨고요..이게반복인데
산책시 개들만날때 매너는 어떻게되는것인가요?
저는 더 어려서는
얘가흥분하다가 혹시 물리거나할까봐
멀리서 개보이면 즤개를 안고 지나갔어요.
근데그게또 매너가 아니란글도봐서요.(상대견을 문제견취급처럼요)
우리봄이는 깨발랄한데 
제가초보라 모르는것이 많네요","정구름 201110 김포
매너와 비매너는 어찌보면 보호자분의 마인드에 따라 달라지는 거 같아요

다른 강아지를 보고 좋아하는 걸 어떤보호자는 프랜들리하다고 하고 어떤 보호자는 흥분도가 높다고 하고

다른 강아지 보고 별 반응이 없으면
사회성이 없다고 하는 사람도 있도 차분하다는 사람도 있고

다른강아지 보고 왈왈짖으면
반가워서 짖는다는 사람도 있고 무서워서 짖는사람도 있고…

워낙 케바케고 견바견이다보니 아주 명확한 정답은 없는거 같아요 다만 보호자님께서 아이의 성향을 정확히 파악하셔서 교육해주실건 해주시고 하는게 젤 좋죠

다른 강아지를 보고 흥분하는건 지금 개월수에서는 흔하게 보이는 행동중 하나인데 가능하다면 상대 강아지보다 보호자분께 집중할 수 있도록 해주거나 다른 강아지가 지나가면 나에게 좋은일(간식)이 생긴다는걸 교육시켜주시면 좋습니다 목줄을 잡아당겨서 강제분리하거나 행동을 제재하게 되면 오히려 부정적인 감정이 강화되서 행동이 더 거칠거나 심해질 수도 있어요~~ 보호자님께서 스스로의 마인드와 교육방식이 맞는 것들을 찾아 꾸준히 연습해주시는게 가장 좋습니다 말은 쉽지만… 정말 한살때까지는 쉽지 않습니다 ㅎㅎ
2022.08.24. 00:51"
강아지 산책 시킬 때 사람지나가면 목줄 짧게 잡아주세요,"저는 반려견 안키우지만 몇년사이보면 강아지 산책 시키는 분들 매너 무척 좋아진것 같아요. 
목줄도 대부분 하시고 배변처리도 잘하시더라고요. 일부 잘안하는 분들도 있는데 나아지겠죠. 
그런데 강아지 산책 시키는 분들에게 부탁하고 싶은게 하나있는데요 
사람 지나가면 목줄 짧게 해서 강아지 컨트롤해주세요. 대부분 잘하시지만 그냥 길게 잡고가시는 분들도 있더라고요
저처럼 강아지 무서워하는 사람은 혹시 강아지가 달려들까 무서워서 삥돌아갑니다. 
몇일전에도 강아지가 저에게 달려들어 얼마나 놀랬던지요..","츄미나라
저 어제 그런 배려 받았어요. 아이랑 지나가는데 개가 짖으니 목줄 바짝 잡으시더라고요. 아이는 놀랐는지 서있길래 왜 안가고 서있느냐 했더니 개가 있어서 그런다해서 우리 지나가라고 줄 짧게 잡으신거니 우리가 빨리 지나가면 된다고 알려 주었어요. 넘 감사했어요
2022.07.15. 09:52"
[ 강아지 산책 매너를 지켜주세요!! ],[0],"찐주
응아 안치우는견주들 많아요. 그리 이뻐하시는데 응아도 좀 치워주셨으면..
산책할때마다 찡그리게되네요.
2019.11.02. 12:30"
강아지산책알바 아이에게 어떨까요?,"중딩 딸아이가 동물을 참~~~좋아해요~^^
집에서 강아지나 고양이를 너무 키우고파하는데 
집에 사람이 없어서(저녘에만 있어요ㅜㅜ)  
주변에도 민페고 강아지도 힘들것같아서 
키우는걸 반대하고있어요~ 
그래서 생각하다보니 강아지 산책같은
알바를하면 아이도 강아지를 보면서 충분히
이뻐하고 좋아하면서 책임감도 생길것같아서요~
이런 제생각이 맞는걸까요?
그리고 강아지 산책알바를 구하시는분도
있을까요?","마이썬92
시간제로 애완견,애완묘 돌봐주는사람 구하는 어플이 있대요 예를들면 2시간동안 반려견 산책하고 밥챙겨주기, 집에서 돌봐주기 이런식 이더라구요. 이런걸 통해서 구해볼수는 있지만, 사실 아이에게 믿고맡길수있는 주인이 있을까 싶기도 해요.. 보통 키워본적 있는사람들 위주로 구인구직 하더라구요~ 그래도 혹시 도움이 되실까싶어..
2022.09.17. 17:03"
강아지산책매너,"강아지랑 산책을 다니면 소형견부터 대형견까지 목줄을 안하시는분을 자주 마주쳐요 사실 순한개고 주인이 부르면 콜링이 된다 믿으셔서 그런거겠지만 저도 반려인으로써 인상이 찌푸려지는 상황이 종종 생기더라구요 저희 강아지도 맘껏 뛰게 하고 싶죠 하지만 모두를 위해 지켜야 할 약속 아닌가요? 제발 지켜주세요
그리고 강아지배변 안치우시는분들 제발좀 치워 주세요…. 아파트 단지 화단이 똥밭이에요…. ㅠㅠ 사소한 행동 하나하나가 올바른 반려동물 문화를 만드는거 아닐까요?  곧 날이 따뜻해지면 벌레도 냄새도 날텐데 내가 안치운 내 강아지똥 누가 치워주나요? ","고리수
그니까요..저도 열심히 응아 치우는데 동네 화단에 말라버린 응아가 많더라구요
2022.03.04. 15:55"
강아지 산책중 매너에관해서,"이전에 올리버쌤 영상 보니간 외국에서는 강아지 산책시 매너있게 서로 인사하지않고 지나가더라구요.
근데 우리나라는 상대가 인사하고싶지도 않은데 지네집강아지 목줄을 길게빼먄서 인사시키는게 허다하더라구요.
저도 좋은 매너견만나거 인사하는 건 좋지만 내 강아지도 언제 어떻게 흥분할지 모르는데 남의강아지라곤 안그럴까요? 
근데오늘 산책중에 상대방 강아지가 대형견처럼 보였습니다.
(보더콜리) 사실 저희아이가 3개월이라 걱정이되어  안아서 지나갔는데 멀리서 저희보고 ""우리집개 순해요 그런식으로 키우시면 애 버릇만 나빠져요 내려 놓으세요""라고 훈계하시더라구요. 
이게 맞는 건지 견주님들 의견이 궁금합니다. 제가 저희아기 친구들도 못만들게하는 무식한 엄마인지 걱정이네요","호두누나얌
엥? 무슨 무례한 행동인지 제가 다 기분이 나빠요..
2021.03.14. 17:30"
[0],[0],"2nikim
진짜 너무 공감합니다. 저는 자전거 타시는 분들이 많이 계셔서 저희 강아지 목줄 짧게해서 제 몸이 바짝 붙여서 산책하거든요. 가끔 엄청 큰 개를 세상에 목줄도 안하고 산책하는 분들이 계시더라구요. 노이해.. 그러다 사고나면 어쩔라고.. “우리개는안물어요” 가 베이스에 깔려계신듯 하네요. 애들도 많은데..
2022.11.07. 11:13"
