펫티켓 포스터,"첨부파일
펫티켓01
.jpg
null
파일 다운로드
필요하신분 쓰세요","허수아비2
2023.01.05. 12:30"
가장 중요한 펫티켓은 무엇입니까?,"펫티켓이라는 말은 공공장소에서 반려동물과 함께할 때 지켜야 하는 예절을 뜻합니다
반려동물 보유 인구가 늘어나면서 반려동물과 있을 때 예절인 펫티켓으로는
다른 개나 사람과 접촉할 시 상대방의 동의를 구하거나
(맹견의 경우) 입마개를 착용하거나
엘리베이터와 같은 공동주택 건물 내부에서 반려견을 안거나
목줄 목덜미 부분을 잡거나
산책 시 목줄 및 가슴줄을 착용하거나
동물등록(인식표를 착용)하거나 배변처리 하거나
등으로 합니다 실제로 반려동물이 있으신 분들의 투표를 부탁드리며
중복투표가 아니므로 하나만 체크해주세요 
투표에 많은 관심 부탁드립니다
무기명 투표 중
가장 중요한 펫티켓은 무엇입니까?
다른개나사람과접촉할시상대방의동의구하기
(맹견의경우)입마개착용
엘리베이터와같은공동주택건물내부에서반려견을안거나목줄목덜미잡기
산책시목줄및가슴줄착용
동물등록(인식표착용)
배변처리
기타
잘모르겠다
투표하기
📗컴활1급 필기+실기 최최종 정리 PDF 무료다운 
ㄴ https://bit.ly/3aNXZp3
🏆이번주 취업대학교 인기글 
💬왜 저는 어쩌다가 이렇게 인생이 망한걸까요 https://bit.ly/3VbycJb
💬아니.. 1118.5 대 1 경쟁률이 말이 되나요? https://bit.ly/3tMHq2G
💬9시까지 출근이면 업무시작이 9시? https://bit.ly/3Aw3Qt0
💬합격의 큰 이유는 이것 같아요! 롯데알미늄 최종합격수기 https://bit.ly/3tsuoXY
👉 기업별 자소서/인적성/면접 가이드북 리스트 
https://bit.ly/3MjLsHz
📢 [업데이트] 한눈에 확인하는 2022 연봉 실수령액 
https://bit.ly/3NjteWu
※ 해당 게시글의 저작권은 게시글 작성자와 취업대학교 카페에 있으며 취업대학교에서 제작하는 자료 등에 활용될 수 있습니다.  
본 게시글의 무단 도용 및 복제를 금합니다.","켜켜
배변처리가 엄청 중요한거 같아요.. 저희 동네에 지가 키우는 개새끼가 싼 똥을 안 치우는 개저씨 개줌마들 진짜 많거든요ㅠㅠ 길거리에 아주 똥이 그냥.. 하 동네 사람들에 대한 배려가 없어여,,
2022.12.10. 04:51"
흰동이랑 6주 펫티켓 교육 받았어요 !!,"세종시 도담동 주민자치회에서 실시하는 펫티켓 무료교육 받았어요.
3주 이론, 3주 훈련
기본적인 산책 훈련
강아지, 스쿠터, 사람 등에 대한 둔감화 교육
정해진 공간에서 기다리기
기다려~ 하고 한발짝, 다섯발짝, 열발짝, 뒤돌아 열발짝..  이동 후 돌아올때까지 정해진 공간에 머물러 있다면 오케이~
기다려 훈련 + 이름부르면 눈맞추기 훈련
오늘은 마지막  훈련날이었는데 
집에서도 할수있는 스트레스 해소에 효과적이라는 여러가지 놀이와 항문낭, 발바닥 털제거 하는 방법까지 정말 유익한 교육이었어요^^
세종시에 거주하며 동물 등록이 된 강아지는 호텔 이용시 혜택도 있다는 사실도 오늘 알았어요.
훈련사님들이 4~5명정도 교육에 참여해서 거의 1:1 과외 수준이었어요^^
우리 흰동이 문제점도 친절하게 훈련법 알려주셔서 응용하여 계속 훈련하고 있어요.
공주시에서도 일상생활에 바로 응용할수있는 교육 기회가 있다면 좋겠네요. 
12월에도 반려동물 기초이론교육 한대서 또 신청했는데 이런 기회들이 흰동이랑 행복하게 살아가는데 도움될거 같아요^^","바이올렛05
너무 좋은 교육을 받으셨네요😊
흰동이랑 더 많이 행복하세요~^^
2022.11.30. 23:27"
동반 카페 (abt. 펫티켓),"동생놈이 동네에서 카페를 운영하는데 
반려동물 동반 가능합니다만 ㅋㅋㅋㅋㅋㅋ
아니진짜 펫티켓좀 지키고 삽시다
강아지 위주 카페가 아닌 동반 가능한 카페인데 
대놓고  테이블 옆 바닥에 배변패드를 까는건 좀 ^^^^^^^^^ 
이러다 강아지 출입 못할수도있어여..... 
배변은  밖에서 하고 들어갑시다
쇼파에 애올리는건 뭐 걍 두는데
 테이블위에 왜 개를 올리는건가여 이해불가 ","엘르코
그래서 어떤카페는 바닥에 강아지 못내려두게해요 의자에도 못두고 개모차가있거나 강아지가방있어야 입장가능하거나 작은 블랭킷이라도 있어서 깔고앉게해야 입장가능해요
어떤매장은 가게에 강아지방석이 따로있기도하더라구요
2022.12.07. 18:37"
"제주 반려동물 여행 중 펫티켓 영상 촬영했어요 :) 여행오시는 분들, 계획중이신 분들께 도움이 되길 !","사진에 포메라니안이 저희 강아지에요 :)
제주도에 살고 있는데 이번에 제주관광공사와 함께 제주도 여행시 지켜야할 펫티켓 관련해 재미있는 영상을 찍었답니다. 2박 3일동안 고생하면서 찍었는데 연기도 나름 잘 하고 잘 참고 촬영해줘서 고맙네요 !
이런 좋은 정보를 전달하는 영상을 찍게 되어 도민으로서 뿌듯하고 강사모 회원님들에게도 도움이 되면 좋겠습니다 :) 
tip)
렌트를 할 때 - 영상엔 카시트로 나왔지만 보통 강아지 이동가방을 준비해주시면 됩니다~! 
애견동반식당, 카페 방문 시 - 이동가방, 혹은 목줄을 하고 착석하시면 되며 미리 매장에 전화 후 ""목줄 착용하거나 케이지에 들어가 있으면 애견동반이 가능할까요~?"" 여쭤보시는 것이 좋습니다. 된다고 하시는 사장님들 생각보다 많습니다. 그러니 꼭 예의를 지켜주세요.
이외에도 궁금하신 점 있으면 댓글에 남겨주세요~!
영상에 좋아요도 한 번 씩 눌러주시고 가시면 감사하겠습니다^^ 고생한 레비가 힘이 날 것 같아요~! ♥️","체리어멍
ㅎㅎㅎ스토리가있네요 ㅋㅋㅋ어쩜 인형처럼 저리 순하게 이쁘게 있을까 ~~간식주세용~~
2023.01.18. 18:07"
평택시 펫티켓 준수 sns 캠페인!,"퍼온 글 입니다~!!
좋은 취지의 캠페인이라 공유 해 봅니다.
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
평택시가족센터에서는 성숙한 반려문화 조성을 위한
""펫티켓 준수 sns 인증 캠페인""을 실시합니다.
최근 반려가족의 증가와 함께 개물림 사고, 소음, 배변 미처리 등으로 인한 이웃 간의 갈등도 증가하고 있습니다.
반려가족과 비반려가족 모두 행복한 평택시를 위해 
내가 먼저!!! 펫티켓을 지켜주세요!!
.
펫티켓 준수하는 모습을 sna에 게시하신 후, 
참여 인증을 해주시는 선착순 60명에게는
참여선물(모바일상품권 5천원권)을 보내드립니다~
많은 관심과 참여부탁드립니다!!!
※참여인증 바로가기: https://naver.me/FfWNwCLT","FW
정말 펫티켓때문에 울아파트도 전쟁이예요ㅠㅜ 펫티켓안지키는게 것도 문제지만 전염성있는 아픈아가의응가는 모든아가들의 건강에도 나쁜영향을주거든요 제발부탁이예요~
2022.10.06. 19:57"
12월에 부산펫박람회 가볼려고 하는데 펫티켓 및 이동장 사용에 관해 궁금해요,"타도시에서 가는 거라서 차 끌고 갈 예정입니다.
강쥐랑 둘이 가는 거라서 강쥐랑 거기서 물품 사면 물품까지 다 제가 혼자 들어야 하는 상황이예요.
처음 가는 거라 궁금한 게 있는데,
펫박람회나 펫페어 다녀오신 분들께 조언 부탁드리겠습니다!
1. 인터넷에 펫박람회 펫티켓에 관해 찾아보니
중성화 안 했으면 매너벨트 필수라고 하더라구요.
12월18일이면
딱 18주차 되는데 매너벨티하고 가야하나요?
내려놓으면 지나가는 사람한테 꼬리 밟히거나  큰 개나 유모차에 치일 수 있다는 글을 봐서
박람회 안에선 리드줄하고 안고 다닐 예정입니다.
2. 현재 이동장은 켄넬뿐인데
18주차된 시츄를 목줄+리드줄하고 안고 다니다가
(3일 전에 1.72kg이였으니까 18주차엔 3kg 미만 예상돼요)
전시장 내에 이동가방 맘에 드는 거 있음 사서 안에 넣고 다니는 게 나을까요? 아님 미리 구매해서 넣고 가는 게 좋을까요? 혹은 박람회 외엔 사용할 일이 그닥 없으니까 힘들어도 안고 다니는 게 좋을까요? 아니면 울부짖겠지만 차 안 켄넬에 넣어두고 후다닥 둘러보고 오는 게 좋을까요?
부산 간 김에 부산 내에 여기저기 산책하다 올 예정입니다. 그래서 집에 강쥐 남겨두고 박람회 갈 생각은 없습니다^^;
댓 달아주시는 분께 미리 감사인사드립니다!","동이B
주말에다녀왓엇는데 사람많아서 이동가방이나 안고다녀야할거에요..
2022.11.23. 11:59"
월곡 1동 펫티켓 교육,"안녕하세요
더펫하우스입니다!
월곡1동 반려인들께 좋은 소식을 가지고 왔어요!!
월곡1동과 함께 하는 펫티켓 교육
★교육기간
11. 1.(화) 14:00~16:00
★접수기간
10.25.(화)~10.30.(일)
★교육기간
11. 8.(화) 14:00~16:00
★접수기간
11.1.(화)~11.4.(금)
★내 손 안의 인문학 Ⅲ
★반려견과 함께하는 펫티켓 교육
▶ 접수방식(2가지)
① 온라인
(배우랑께 홈페이지) 
 회원 가입 후 수강신청
광산 평생학습포털 배우랑께
광산 평생학습포털 배우랑께
edu.gwangsan.go.kr
② 방문 및 전화 접수
  (09:00~18:00 근무시간 내)
 (월곡1동 행복행복자치팀
 담당자☎ 062-960-7672)
많이 신청해 주세요!!!",[0]
펫티켓 꼭 지키기~~~,"밀크랑 산책한다고 매일 나가서 땅만 유심히 쳐다보니깐 
진짜 똥밭이 따로 없네요ㅠ 
길 건너건너 개똥이네요ㅠ 안일하게 생각하다 강아지 키우면서 알게된 사실 진짜 너무한거 같아요ㅠㅠ 
우리동네 비매너 보호자들이 왜이렇게 많은지 부끄럽네요ㅠㅠ
반성하는 하루가 되었네요~~
우리카페 숑이 보호자님들께서는  펫티겟 다 지키시죠?^^
우리아가들이 똥길이 아니곳에서 산책하고 싶어서 주절주절 했네요^^
편안한 저녁 시간 되셔요♡","뚜둥맘 부산
임오 고양이똥도 마나요 ㅎㅎ
배변봉투 꼭 챙겨서 나갑시당💕💕
2023.01.31. 18:36"
나의반려견 반려묘....펫티켓♥,"지난토욜 해바라기 하려고 드라이브갔다가 
낙엽하나주워들고 가을바라기도하고 가을놀이도 하고
산책로에""안전한산책로 반려견 펫티켓""있어서 찰칵!
레팩에 반려견책나오니까.요런거이 눈에.띄더라구요^^
순한 반려견도 타인에겐맹견이.될수있어요
배설물은 꼭 치워주세요
입마개권유
공공장소에선 목줄을 짧게.....
반려견 건강 먹거리도 중요하지만
이런 기본 에티켓 지키기도 중요하겟죠^^♥","고에디터
그럼요🙂 넘 중요한 펫티켓이에요~!
2022.11.21. 21:20"
반려견과의 조화롭고 행복한 공존을 위한 펫티켓 교육 참여자를 모집합니다 ^^,"반려견과의 조화롭고 행복한 공존을 위한 펫티켓 교육 참여자를 모집합니다 ^^
일시: 11월 17일, 24일 목요일 오후 1시 30분~3시 / 총 2회기
장소: 정관 분소 2층 (정관읍 정관덕산길 33, 2층)
내용: 반려견 식사 예절 및 펫티켓 교육, 반려견 사회화 교육 등
신청방법: 네이버폼으로 신청↓↓↓↓↓↓
https://naver.me/Fzm9dVKF
문의: 사회복지사 박진아(051-792-4799)","미니유니
아무나 신청할수 있나요?그냥 강의 듣고만 오면 되는건지요?ㅎ
2022.11.14. 22:45"
펫티켓~,"반려견도 가족이 되어 모든걸 함께 하는 요즘
저도 반려견의 한 보호자입니다
출근 전에 항상 산책을 해주고 나가는데
요즘 유독 펫티켓 안지키시는 분들, 흔적들 보여서
논란이 될수도 있는 내용이지만 조심스레 올립니다
오늘과 몇주? 전.
아파트쪽 산책로를 걸어가는 길이 있어요
아파트 동 입구쪽인데
작은 소형견 키우시는 분께서 목줄을 아예 매지않고
풀어서 다니게 하시더라구요
쫓아다니는 것도 아닌 아예 방치^^
그러고선 저희가 (가던길이니) 가까워지자
놀래서 본인 개를 들어안더라구요
참고로 저희 아이는 대형견입니다. 아직 한살은 안된 아가지만 몸집이 커요
놀라서 들어안는게 
""아! 내가 매너를 안지켰는데 어서 안아야겠다""
인지,
""아! 저 개 엄청 크네 위험하니까 내 강아지 들어서 피해야겠다""
인지. 모르겠어요
본인 개는 작은 소형견이니 위험하지 않을거라는 생각을 가지고 다니시는 분들 좀 보이거든요
다 그렇지는 않다고 생각합니다
크기만으로도 위협감을 느낀다며 괴물보듯 피하시는 분들도 계시고
심지어 같은 동 사는데 엘베 타지말라고 문 확 닫아버리시는 분도 봤어요
속상했지만 그만큼 크기로 공포감을 줄 수 있겠지
마음컨트롤 하며 저희는 열심히 6개월 가까이 훈련소도 함께 다니고있습니다
더 본보기가 되어주자, 힘이 세서 컨트롤이 쉽진 않으니 긴장풀지말고 잘 키우자 하는 마음에요
저희 집에 큰 아가는 작은 아이들이 짖어대고 공격성을 드러내도 한번도 안짖더라구요. 내개는 착해요 가 아니라 얘가 그렇게 행동을 해요
물론 자기도 화나면 짖겠죠? 그건 사람이든 짐승이든 당연한거니까요~
오히려 울집 애가 크다고 앵앵거리며 달려드는 작은 아이들이 더 많습니다
사납고 무는건 크기랑 상관없어요 그건 그 아이의 종특일 수도 있고 키우는 환경, 태도에 따라 달라지는거에요
작은애보고 ""얘 물어요?"" 하나요?
크니까 ""얘 물어요?"" 하시더라구요
크기로 입마개 시비거는 사람도 계셔서
그건 그럴수있으니 애가 싫다고 난리를 쳐서 맘이 아파도
그런소리 듣기도 싫고, 서로를 위해 입마개도 훈련도 하고 있어요
이 말을 하는 요점은 크기로 차별, 시선을 차갑게 안둬주시면 감사하겠다는 말을 하고싶어요
그리고 대변좀 치워주세요
작은 강아지 보호자님들만 그럴거라 생각은 안하지만
계속 땅에 강아지똥이 있는걸 보면 소형견 아이들이더라구요ㅠㅠ
지구를 죽게만드는 것 1위가 강아지똥이에요
그만큼 꼭 처리해주셔야하는거라구요..
그런 지식 없이 반려견 키우시는 분은 안계셨음 좋겠어요
대형견이든 소형견이든 사랑스러운 생명체를 가족으로 받아들여 함께 생활하는 보호자들 욕먹게 하지말아주세요
친정에 소형견 두마리를 키워요
유기견보호소 봉사도 10년 가까이 다녀요
개라는 동물을 좋아하는 사람입니다
그런데 대형견을 키우면서 받아주지 않는 곳도 많고
애로사항도 많아요. 소형견때는 느껴보지못했던 감정들도 많이 느껴요
요즘은 소형견이 지나가면 제가 더 긴장되고 조심스러워지네요ㅠㅠㅠㅠ
일반화시켜서 말하는건 절대 아니니까 오해말아주세요
다 사랑스러운 반려견들. 펫티켓은 꼭 지켜주세요🙏
어제 오늘 대형견이라는 이유?
이런 갈등이 좀 있어 그랬는지 뭔가
한풀이처럼 제위주로 글을 썼네요
논란글이고 싶진 않고 대형견 키우는 보호자의
한풀이라 생각해주시고 너그럽게 이해해주세요~","좋은생각77
저도 대형견을 키우고 있어 많이 공감하고갑니다. 소형견들이 목줄을 더 안하는 경우가 많더라구요. 오히려 대형견들은 사람들의 인식때뮨에 더 조심하고 다니는데...목줄안한 소형견이 저희 개한테 앙앙대면서 달려들면 진짜...저희개는 놀고싶어 낑낑거리지만 짖거나 달려들지 않는데...어떻게 대처해야하나 난감하더라구요..암튼 목줄 잘하고 본인개 똥 좀 잘치웠으면 좋겠어요~
2022.09.26. 13:40"
울산 애견 펫티켓을 지켜라!,"반갑습니다
울산 강아지 카페 매니저입니다^^
여름이 끝나고 벌써 선선한 가을이 다가왔네요
가을이 오래동안 머물러 있어야ㅠㅠ
힘내서 산책을 열심히 다닐텐데....ㅎㅎ
(우선 핑계하나 적립)
산책도 나가고 펫티켓도 지켰으면 하는 바램에서
펫티켓 이벤트를 진행해보아요
= 이벤트 참여방법 =
울산 강아지 릴레이 게시판 이용
본 게시글에 참여합니다 댓글 필수❗
1. 제목에 말머리를 꼭 붙여주세요
2. 내용
2m 리드줄 잡기, 동물등록증인증, 인식표인증,
엘리베이터에서 반려견 보호해주기 등
펫티켓에 관한 모든것!
ex)
이벤트 기간
09.20~09.30
이벤트 기간동안 무제한 참여가능
회원님들의 게시글에 댓글 많이 부탁드립니다.
이벤트 많은 참여와 관심 부탁드립니다.
= 이벤트 참여선물 =
댕댕이 인식표  
추첨을 통해 총2명에게 드립니다.
※ 위 선물은 제휴업체 하이펫플에서 협찬해주셨습니다.","뿌꾸
좋은 이벤트입니다
2022.09.20. 22:51"
