반려견 산책중 황당스러운일,"오늘오전 우리집 강아지와 동네산책을하고있었어요
산책중 다른 반려견 보호자를 만났어요~
저희 강아지는 산책중에 큰짖음은 아직까진 없는데 아직 사회화가
미숙해서 다른 강아지를보면 낑낑거리며 다가가고싶어해요
늘 조심하고 목줄 꽉잡고 긴장해요
혹시, 우리집 강아지가 어떤 돌발행동을할지 모르니깐요 
근데, 대뜸 산책중 만난 반려견주 분이 물으시더라구요
얘는 물어요? 라며 저희강아지를 가리키면서 말이죠
이해는합니다 저희 강아지가 낑낑거리며 다가가려하니
걱정되셔서  그러실수있다는걸요~
제가 그랬죠! 모르죠ㅠ 어떤행동을할지 단정지을수없어요
그래서 제가목줄 짧게 꽉잡고 있어요~ 라고했더니
불안하셨는지 지나가시더군요ㅎ 저는 지나가시다보다 하고 저갈길 가려는데  뒤돌아서서 저보고 우리집 강아지는 않물거든요!  라고하시며
가시는데 제 기분이..영 속상하네요ㅠ
제가 예민한가요?
견주분들은 애는 물어요?라는 질문받으심..뭐라고 답변하실것같나요ㅜ
괜히 산책 후 찝찝한마음에 하소연 해봅니다ㅠㅎ","농심닭다리
별 이상한사람 다보겠네요. 어쩌라구요? 하시죠ㅋㅋ
2023.01.31. 11:35"
요즘 미세먼지 계속 심하네요ㅜㅜ 반려견 산책 어떻게 하세요?,"지금 미세먼지가 심해서 4일째 반려견 산책을 
못시키고 있네요 ㅜㅜ
주위분들 물어보니까 ...
1. 주차장에서 시키는 분 
2. 집에서 격렬하게 놀아주는 분 
3. 그냥 간식주면서 살찌우기 ;;
이렇게 하시던데 좋은 방안 없을까요?;;ㅜㅜ ","하우두유두
못하고있어요 ㅠㅠ 시무룩해있네요
2023.01.08. 13:29"
턴네스 하네스 반려견 산책줄,"턴네스 하네스 라지사이즈 미사용 제품
개봉해서 박스는 없어요~
우리 아이에겐 사이즈가 작아요ㅜㅜ
택포
1. 제품명/브랜드: 
2. 상품 상태(미개봉/중고): 
3. 구매 시기: 
4. 하자 유무(유/무): 
5. 상품 설명:
반려견 강아지 멍멍이 하네스 목줄 산책줄",[0]
제 취미는 반려견 산책이에요,"요 며칠 날이 너무 추워서
산책을 잘 못하고 있네요
집이 서울숲 근처라
주로 서울숲이랑 성수동 골목을 한두시간 걸어다니는걱
저의 가장 큰 행복이네요
성수동 디올
밤에 가면 조명이 너믄 이뻐요
송민호 개인전도 근처에서 하고 있네요
간간히 조명이나
설치물들이 바뀌어서 새로워요
눈온 서울숲 
너무 이뻐요
달려 달려~~~!!!","탤
너무 멋진 리트리버네요 .. 산책이 취미시면 강아지는 얼마나 행복할까요 …😻
2023.01.27. 14:51"
오늘같이 미먼 나쁜날 반려견 산책하나요?,"오늘 미세먼지,초미세먼지 매우나쁨이라서 산책을
나갈까 망설여지네요.ㅠㅠ
이렇게 미세먼지 매우나쁜날 반려견 산책시키시나요?","포도알포도알
꺼려지죠 아무래도^^;;
2023.01.07. 14:25"
반려견 산책주의(염화칼슘),"어젯밤에 염화칼슘을 엄청 뿌려놔서 반려견 산책나가실 때 신발 착용시키세요.
오늘 아침 산책나가는데 우리애들이 발을 들고 다니길래 염화칼슘때문이라는 걸 알았네요. 발바닥 화상입는답니다.","보리제로맘
맞아요~
특히 이면 도로나 횡단보도 건널 때 조심스러워요ㅜ
2022.12.16. 22:24"
반려견과 산책 후 열활을~,"아이 어린이집 등원 시키고 반려견 꽁지와 산책을 다녀 왔습니다 
꽁지 친구 수호와 산책을 시작 ^^ 
요 두친구 크기 차이 엄청 나죠? ㅎㅎㅎ 
나이도 똑같고 같이 아파트 같은 동에 사는 산책 친구 랍니다 
둘 다 노견에 접어 들었지란 사진으로는 아직 영 하지요?
산책도 다녀 왔겠다 커피 한 잔 하며 열활 시작해 봅니다 
다들  즐건 하루 시작 하셨을까요~~^^?","당돌한아이13y
산책친구라니보기좋아용~^^
두마리다~동안인가봅니당ㅎㅎㅎ
2023.02.02. 11:42"
두 아들과 반려견 산책 ㅎ,"주말 오후 아들 둘과 반려견 데리고 산책 다녀왔네요^^
해가 좋아 산책하기 너무 좋았어요 아이들도 추워 집에만 있다가 막상 나오니 신나하네요 ㅎㅎㅎ
역시 날씨 좋은날은 산책이 좋은거 같아요 집근처 공원에서 공기도 좋고 운동도 되고 좋으네요 ^^","Sssssssung
헤헤 뒷 모습이 귀엽네요^^
2022.12.12. 02:51"
반려견과 가을산책 다녀오고 굽네치킨 오리지널 세트 선물도 받아가세요,"우리 강아지와 나누는 더 깊은대화<우나더> 카페는 반려견문제행동과 반려견교육(훈련) 방법에 대해 함께 고민하며 개의 습성과 행동에 대해 이해하고 인간과 개가 함께 사는데 문제가 발생하지 않도록 올바른 방법으로 교육하는 반려견 보호자들의 모임장소 입니다. 
반려견과 가을산책 다녀오고 굽네치킨 오리지널 세트 선물도 받아가세요
네이버 카페팀 카페 활성화 지원 이벤트
(본 이벤트는 네이버 카페팀의 지원으로 진행하는 이벤트로 지원 대상에 선정되지 않을경우 취소 될 수 있음을 알려드립니다.)
야시와 겨울이네 가을산책
안녕하세요 우나더 카페 매니저 뽀또입니다.
산책하기 좋은 가을입니다.
우나더 카페 멤버분들은 우리 반려견과 함께 산책 매일 다녀오고 계신가요?
 이번에 진행하는 이벤트는 네이버카페팀의 지원으로 진행하는 이벤트로 우리 강아지와 함께 산책을 다녀오고 인증사진을 올려주시면 10분을 선정하여 굽네치킨 오리지널 세트를 선물할 계획입니다.
* 반려견과 가을산책 다녀오고 
굽네치킨 오리지널 세트 선물도 받아가세요
- 모집기간 : 2022.11.01(화) ~ 2022.11.13(일)
- 당첨자 발표 : 11.15(화) 이전까지 우나더 카페에 공지
- 당첨인원 : 10명
- 당첨상품 : 굽네치킨 오리지널 세트
- 이벤트 신청 방법 :
01. 댓글에 이벤트신청글 남겨주세요.
02. 반려견과 산책 후 [1일1회 이상 산책] 게시판에 산책이야기를 올려주세요.
- 이벤트 당첨 후기 :
- 이벤트 당첨자는 꼭 후기를 남겨주셔야 합니다. 
- 본 이벤트는 네이버 카페팀의 지원으로 진행하는 이벤트로 지원 대상에 선정되지 않을경우 취소 될 수 있음을 알려드립니다.
* 우나더 카페 1일1회 이상 산책하기 캠페인
산책하는 반려견들
우나더 카페는 우나더 필수미션 5+1 이라는 캠페인을 반려견 보호자분들과 함께 하고 있습니다.
하나. 반려견 1일1 산책하기
하나. 반려견 교육, 놀이하기
하나. 개똥줍기, 펫티켓 지키기
하나. 이중문설치, 인식표달기
하나. 반려견을 위한 1견1개구좌 만들기
+하나. 유기견을 위한 콩 기부하기
10월 스타벅스 커피는 아쉽게 떨어졌는데 이번에는 꼭 선정되어 올바른 반려견 문화에 앞장서는 우나더 카페 반려견 보호자분들에게 좋은 선물을 할 수 있는 기회가 되었으면 좋겠습니다.
응원댓글 많이 남겨주세요 ~^^* 
* 네이버 카페 활성화 지원 선정카페 발표는 11월 3일 목요일에 발표 예정입니다.
우나더 카페 온라인 활성화 지원 굽네치킨 오리지널 세트(10개) 이벤트 응원댓글 많이 남겨주세요 ~^^*
https://cafe.naver.com/expert98/450163
#반려견산책 #강아지산책 #산책하고치킨받기 #반려견산책이벤트 #1일1산책 #1일1산책캠페인 #산책하기 #교육놀이하기 #개똥줍기 #펫티켓지키기 #인식표달기 #이중문설치하기 #우나더카페 #올바른반려견교육 #우나더반려견교육","우나더 뽀또
2022.11.01. 17:08"
반려견 산책 시 똥 안치우나요?,"아파트 단지 안 현관 나와서 도보로 정문까지 가는 그 짧은 길에 시시때때로 개똥이 있어요
쪽팔려서 어느 아파트라 얘기도 못하고요
이해가 안되요
자기네들도 매일 지나다닐테고 개 산책을 하루 이틀 시키고 말것도 아닌데 왜 싼 똥을 방치하는지..
요즘 애들 아침 등원길에 바닥에 똥 잘 보고 다니라합니다...
그러다 저는 오늘 밟았네요 ㅆ..ㅋㅋㅋㅋㅋㅋ
그냥 골목 길바닥도 아니고 아파트단지안에 개똥이..
저희 아파트만 그런거죠? 저희 아파트 수준이 이런거죠?ㅋㅋㅋㅋㅋ
반려견 키우는 견주님들 골목 어귀도 아니고 단지에 통행로 길바닥에 개가 똥을 
싸질러도 그냥 지나치는거 이거 맞는건가요?
제가 오늘 똥을 밟고 진짜 진심 궁금해서요...ㅋㅋㅋ","이쁜이76
저희 아파트도 있어요. 산책 나갈때 마다 느껴요.기분이 좀 그래요~
2022.11.21. 22:38"
