산책어플 뭐 쓰세요?,"산책어플 뭐 쓰세요?? 아무생각 없었는데 매일 나가는 산책 기록을 좀 해볼까 싶어서 이것저것 찾아봤는데 
산책어플에 보호자 정보 등록하고 보호자 자기소개까지 넣어야해서 왜때문에..? 싶기도 하네요 
그냥 오늘 산책한 코스 총 거리 정도 기록하는 간단한거 없을까요🤔🤔","upiter
저는 그냥 워치3 저렴한거 사서 산책 나갈때마다 기록합니다. 아래로 내리면 자세한 내용들이 나오긴 하는데 저도 그냥 산책시간하고 거리만 체크하고 있네요.
2022.12.19. 17:06"
강아지 간책 할때 산책 어플 켜고 같이 해요 !,"1원도 받는 것 없고 링크도 없습니다.
산책을 하면 지도에 발자국이 남는데 그때 일정 수의 사료를 획득하고 다른 강아지들의 남겨진 발자국을 먹으면 또 일정수량의 사료가 획득 됩니다.
그러면 모아진 사료는 시설에 기부가 되는데.. 
감계에 산책 기록 남기는 강아지들이 있는데.. 더 많았으면 하는 마음에 한번 올려봅니다!","베베욤욤이이
어플이름이 뭔가요?
2023.01.27. 22:59"
정보공유. 산책어플 공유합니다!,"*최소 5줄 이상 작성 필수 
*무성의한 추천 요청 글 무통보 삭제 
*질문글일 경우 아래 2가지 양식 기입, 안할 시 무통보 삭제 
(수다성 글은 양식 필요 없음) 
*대부분의 질문에 대한 답은 글 남기기 전 검색해보시면 나와있습니다. 
1. 주제: 
2. 내가 검색해본 내용 / 키워드:  펫피
---------------------------------
많은분들이 알고계시겠지만. 
산책하면서 얻을 수 있는게 있는 어플이라서 
정보공유차 소개해드립니다 ^^
저는 이 어플을 통해서 
별아의 바디티슈를 주기적으로 공짜로 얻고 있어서..
(배송비는 나옵니다.^^;;)
---------------------------------
다들 산책은 하시니까. 
산책하면서 뭔가 덤이 생기면 좋지 않겠어요? ^^;
(저 여기 직원 아닙니다!)
저는 안드로이드를 사용하고 있어서 
플레이스토어 에서 캡쳐하였습니다.
펫피 라는 어플이고요
산책을 하다보면 상단에 있는것처럼 
포인트가 쌓이는데, 그 포인트를 가지고
아래 동그라미의 쇼핑몰에서 쇼핑을 할 수 있습니다. 
쇼핑으로 들어오시면 여러 카테고리가 있는데 
여기 상품들을 제가 다 보지는 않았지만 
가격 경쟁력에서는 
제가 주로 사용하는 네이버쇼핑이나 SSG쪽하고 비교했을때 
가성비는 조금 떨어집니다. 
그러나!!!!
오른쪽 위의 % 표시를 눌러보시고 
다음화면으로 가시면
이런 화면이 나오는데 
여기서 왼쪽위의 51~100%를 누르시면.....
이렇게 마지막 상품에 
포인트 100% 적용이 있습니다. 
이건 순전히 산책하면서 얻은 포인트만 가지고 
100% 구매할 수 있어서 
배송비를 빼면 공짜입니다 ^^
전 이걸로 산책할때 별아가 
가볍게?뒹군날에는 
전신걸래질을 한번 합니다 ^^
제가 포인트 정책을 정확히는 몰라도 
하루에 60포인트를 맥시멈으로 주고
친구초대나 신규가입하면 
처음에 좀 주는게 있는것 같아요 
빨리 빨리 모아서 
금방금방 다시 얻을 수 있는건 아니지만
그래도 산책하면서 뭐라도 얻는다면 
좋은거 아니겠어요? ^^
전 아직 이거밖에 모르는데 
다른 좋은 어플 쓰고계신분들 계시면 
공유 부탁드립니다 ^^:
(혹시 문제되면 삭제하겠습니다!!)","경기하남l레오맘
아니!!!!!!!! (가입하러 갑니다)
2022.10.25. 09:22"
1월에 하루도 안빠지고 산책했어요(사진엄청많음),"어플에서 시작한 '끝까지 챌린지' 도전했는데 
1월 한달동안 1일1산책 선택하고 오늘을 마지막으로 성공했어요^^
어쩌다 어플 안키고 하는날도 있었고 아주 드물게 못해주는 날도 있었지만 이번달은 단하루도 안빼먹고 산책해줬고 기록으로 남기니까 더 뿌듯하네요😊
앞으로도 1일1~2산책 꼭 지키려고요
요게 오늘 산책사진입니다 ^^","밍 키 맘
너무 귀여워요. 행복한 아이네요
혹시 산책 어플도 있나요?
이름좀 부탁드려용^^
2023.01.31. 22:04"
산책어플 깔고 5일차,"평소 저는 집에 있고, 배우자만 멈 산책을 시켰었는데요(아련) 산책 어플을 영업당해버렸지 뭡니까…
덕분에 의지를 갖고 날마다 기어나가고 있습니다 ㅋㅋㅋ 아 제가 나가는 건 월례행사였었는데!
덕분에 보리가 요새 행복한 듯요 ㅋㅋㅋㅋㅋ
저는 산책 어플에서 새로 뱃지 얻는 즐거움에 빠져있습니다.
그나저나, 올리시는 사진을 보며 꽤 근처에 사시지 않을까…? 하던 푸톡분을 발견하고야 말았는데요. 주운 발자국 중에 이 프로필 사진이 있었답니다☆
(무단게시…일까요; 혹시 언짢으셨다면 죄송합니다 ㅠㅠ)
저의 내적친밀감은 혼자 높아져만 갑니다 ㅋㅋㅋㅋ 오늘은 제 발자국을 주우셨더라고요!
어플 사용하시는 분 중 근처 푸톡분이 더 늘어났으면 좋겠습니다. 제가 사회성이 발바닥이라… 인사를 한다거나 같이 산책을 한다거나 이런 건 무리겠지만! 그래도 같이 발자국 줍고 주워지면 기쁠 것 같아요!!","슈니슈몽실맘
보들 산들인가영? ㅎㅎ 저도 푸톡에서 동네분 만나고싶네여 ㅋㅋ
2022.09.02. 22:19"
산책어플 뭐 쓰세용??,"오늘도 비쥬와 산책 잘 다녀왔어요~
비쥬는 낑낑거리긴 했지만 어제보다 잘 걷고 잘 뛰뛰도 했답니다~ 걷다가 제가 멈추면 비쥬도 멈추고 제법 호흡도 맞췄어요^^
이렇게 산책하다보니 어플 사용해도 좋겠단 생각이 들어서요~
다른 분들은 어떤 어플 쓰시나~사용하기 좋은 어플은 뭐가 있나 궁금해지네요~ㅎ
사용해보셨던 거 사용하고 계신 거 마구마구 추천해주세요♡","르반
포켓몬고... 요^-T

애들에따라 다르기도하고 보호자성향도있어서인지. 저도 아이도 다른보호자나 견들 만나는게 번거롭고 피곤해서 산책어플 두어번쓰고 안쓰네요..
2022.09.20. 16:08"
산책어플 펫피 3주년 이벤트 함께 소개해옹,"안녕하세옹 :) 
쵸파는 산책 어플로 펫피를 이용하구 있는데옹 
펫피 어플이 벌써 3살이 되어 기념으루 이벤트를 하구 잇어옹 
간단하게 축하한다고 올리면 경품이 :) 
다들 산책도 하면서 포인트두 두둑히 챙기는 
펫피 어플 어때옹 :)",[0]
금오주공9단지쪽 강아지 산책 겸 작은 용돈벌이 하실분 계실까요?,"제가 데려와서 키우던 강아지가 직장때문에 의정부로 보내서 엄마랑 살고있는데요.
어머니가 나이도 있으시고 바쁘시고 하다보니 아침저녁 단지산책은 해주시는데 제가 보기엔 운동량이 넘 부족해보여요.
주에 2회정도 저희집에 들러서 강아지데리고 근처 제2청사나 천쪽 1시간정도 산책해주실분 계실까요?
요새 날이 추우니 가능하면 낮시간대에 와주실수있는분이면 좋겠어요!
5살이고 4키로좀안되는 포메에요 성격 굉장히 느긋하고 차분합니다!
▶ 다른강아지랑은 살짝 냄새만맡고 별관심없어하는편이에요, 상대 강아지가 짖어도 무시하는 스타일이니 그냥 하자는대로 이끌어주시고, 체급차이나거나 안전적으로 사고가 발생할수있는 강아지는 그냥 인사 차단해주시면 좋겠습니다. 저희개는 아직 한번도 입질사고나 으르렁조차 한적없어요. 사람도 잘 따르진않고.. 완전 개인주의 아싸스타일입니다.ㅋㅋㅠㅠ
▶ 산책하면 거의 그냥 냄새맡고 천천히 걸어다니는 편입니다. 신나서 달리고 그런걸 본적이 별로없어요. 노즈워크위주로 산책해주시면됩니다!
▶ 산책하다가 20~30분걸으면 걷기싫다고 고집피우는게있는데 벤치같은데나 천가에 앉아있다가 오셔도됩니다. 고집못꺾으니 강제적으로 하지말아주세요. 옆에 잘 앉혀두시고 줄 잘 잡으시고 책보시거나 쉬다 돌아오셔도괜찮아요. 안고다니셔도 OK
전에 산책 해주시던분계실때 강아지가 벌침을 밟은적이있어요;;ㅋㅋㅋ 저는 키운지오래되서 습관처럼 바닥에 염화칼슘있는지 유리있는지 오물있는지 보면서다니는데... 너무 개 좋아하시고 잘해주셨긴한데, 이런 디테일한부분에서 경험이 부족하시다보니 개를 키워보신분한테 맡겨야겠다는 생각이 들더라구요.
▶ 그래서 꼭 강아지 키워보신 경험있으신분, 혹은 키우고계신분 같이 산책시키셔도괜찮아요.
▶ 간단한 외주계약서 작성할거고 서로 주민등록증 사본 교환할거에요. 계약서내용은 사고/도난/손괴 등 사고가 발생할 경우 책임지겠다는 상식적인 내용입니다.
▶ 가능하면 멀리서오시는분말고 동네에서 슬슬 산책하시는 목적으로 오셨으면 좋겠어요. 그래야 오래 이어갈수있을것같아서요!
▶ 시급은 법정 최저시급(9,620원)으로 계산하겠습니다. 기본 한시간정도 산책해주시면되는데, 원하신다면 특수활동(뒷산 등산이나 애견운동장 등..)으로 인한 초과시간에대한 부분도 지급해드리겠습니다. 
▶ 펫산책어플이나 워킹어플등으로 인증해주셔야합니다. 얼마나 걸었느냐 하는것은아니니, 거리에대한 부담은 갖지마시고 제가 활동량 체킹을하기위한 용도입니다.
꼭 좋은 인연 만나서 오래 이어갔으면 좋겠습니당
원하시는분은 yeonginn@naver.com 으로 성별,나이,강아지경험 등등 자유롭게 메일 주시면 감사하겠습니다.
긴글읽어주셔서 감사합니다.","llliliiilii
저희동네면 제가 하고싶네요ㅠㅠ좋은분 만나시길..!
2023.01.27. 20:03"
펫피 어플로 산책하고 디팡 매트 받기 !,"안뇽 칭구들 ~
오늘 날씨 너무 좋은데 다들 산책 다녀왔개? 🐶
베리가 몇년째 잘 사용중인 산책 어플 🧡펫피🧡 에서
지금 이벤트중이니 다들 산책하고 디팡매트 받아가장 👍🏻
베리 추천코드
🏷️ PP45767",[0]
강아지 산책 어플 쓰시는거 알려주세요 ㅡ펫피는 사절,"산책 어플 알려주심 감사합니다 
어플ㅡ장점 단점 ","겨울나라겨울
펫피쓰는데 펫피는 왜 사절이에요?!
2022.02.22. 20:50"
안녕하세요 펫티켓 문화개선을 위한 반려동물 산책 어플 설문조사 한번만 부탁드립니다! (기프티콘증정있어요),"https://forms.gle/kKXEx27C3mi5y1M59
반려견 산책 APP 설문
펫티켓개선을 위한 반려견 산책 app를 위한 설문조사입니다! 추첨을 통해 3분께 스타벅스 기프티콘을 드립니다!
forms.gle
안녕하세요 uiux 포트폴리오 작업중인 디자이너입니다! 펫티켓 문화개선을 위한 반려동물 산책 어플 제작을 위한 설문조사 중입니다.
참여해주신 총 3분께 기프티콘도 증정해드리니깐 한번만 참여부탁드립니다!","오뇽꾸
참여했습니다! 제 게시물 설문조사도 부탁드려요🥳
2022.10.13. 13:30"
안녕하세요 펫티켓 문화개선을 위한 반려동물 산책 어플 설문조사 한번만 부탁드립니다! (기프티콘증정있어요),"https://forms.gle/kKXEx27C3mi5y1M59
반려견 산책 APP 설문
펫티켓개선을 위한 반려견 산책 app를 위한 설문조사입니다! 추첨을 통해 3분께 스타벅스 기프티콘을 드립니다!
forms.gle
안녕하세요 uiux 포트폴리오 작업중인 디자이너입니다! 펫티켓 문화개선을 위한 반려동물 산책 어플 제작을 위한 설문조사 중입니다.
참여해주신 총 3분께 기프티콘도 증정해드리니깐 한번만 참여부탁드립니다!","지그재후리
앱 개발 하시나봐요.
도움이 되길 바랍니당~~
2022.10.13. 10:13"
