,매장명,주소
0,24시청담우리동물병원,📍 서울특별시 강남구 삼성동 70-6
1,SNC동물메디컬센터,📍 서울특별시 강남구 역삼동 727-8
2,우쭈쭈 케어센터,📍 서울특별시 강남구 역삼동 725-29 우쭈쭈 케어센터
3,아이윌24시 동물병원,📍 서울특별시 강남구 청담동 47
4,VIP동물의료센터,📍 서울특별시 강남구 청담동 46
5,논현동물병원 24시,📍 서울특별시 강남구 논현동 59-5
6,디아동물병원,📍 서울특별시 강남구 개포동 158-8 2층
7,튼튼동물병원,📍 서울특별시 강남구 압구정동 426
8,순수동물병원,📍 서울특별시 강남구 논현동 149-6
9,닥터박동물병원,📍 서울특별시 강남구 역삼동 641-10 1층
10,우리동생 동물병원 청담점,📍 서울특별시 강남구 청담동 76-12 라테라스 청담 1층 우리동생 동물병원 청담점
11,얼바인동물병원,📍 서울특별시 강남구 자곡동 670 강남센터뷰오피스텔 1층 103호
12,다랑동물병원,"📍 서울특별시 강남구 개포동 1281 디에이치아너힐즈 상가 103호, 104호"
13,강남25시동물병원,📍 서울특별시 강남구 논현동 90-6
14,동물치과병원메이,📍 서울특별시 강남구 역삼동 827-67 2층
15,하나카동물병원,📍 서울특별시 강남구 역삼동 834-45
16,아이힐동물병원,📍 서울특별시 강남구 역삼동 838-9 거암빌딩 2층
17,메이트 동물병원,📍 서울특별시 강남구 신사동 660-7
18,놀로스퀘어,📍 서울특별시 강남구 청담동 46 놀로스퀘어
19,와이즈동물병원,📍 서울특별시 강남구 논현동 139-32
20,퍼스트동물의료센터,📍 서울특별시 강남구 자곡동 636 서강프라자 2층 201호
21,대치동물메디컬센터,📍 서울특별시 강남구 대치동 990-1
22,대치성심동물병원,📍 서울특별시 강남구 대치동 623 1층 69-1호
23,닥터그레이 동물병원,📍 서울특별시 강남구 도곡동 467-7 아카데미스위트 A동 1층 104-1호
24,임재성동물의료센터,"📍 서울특별시 강남구 일원동 645-11 1층, 지층"
25,나은동물병원,📍 서울특별시 강남구 개포동 1259-4
26,한동물병원 개포점,📍 서울특별시 강남구 개포동 1187-1 1층
27,선릉동물병원,📍 서울특별시 강남구 역삼동 694-11 1층 선릉동물병원
28,중앙동물메디컬센터,📍 서울특별시 강남구 삼성동 90-8 1~4층
29,마더스동물병원,📍 서울특별시 강남구 세곡동 581
30,신정동물병원,📍 서울특별시 양천구 신정동 987-3
31,청담리덴 동물치과병원,📍 서울특별시 강남구 청담동 52-6 3층
32,힐스타동물병원,📍 서울특별시 강남구 자곡동 658 강남힐스테이트에코
33,이리온동물병원,📍 서울특별시 강남구 청담동 97-1
34,신사동물병원,📍 서울특별시 강남구 논현동 59-5
35,봄사랑동물병원,📍 서울특별시 강남구 압구정동 455 주구센타 제1호내 203호
36,예은동물병원,📍 서울특별시 강남구 역삼동 798-20 1층
37,스마트 동물병원 신사본원,📍 서울특별시 강남구 신사동 587-13
38,래이동물의료센터,📍 서울특별시 강남구 대치동 649
39,스마트 동물병원,📍 서울특별시 강남구 대치동 898 갑신빌딩 1층
40,커비동물병원,📍 서울특별시 강남구 논현동 159-23
41,OK동물병원,📍 서울특별시 강남구 역삼동 766-20 1층 OK동물병원
42,이안동물의학센터,📍 서울특별시 강남구 청담동 86 킹콩빌딩 5층
43,청담눈초롱안과동물병원,📍 서울특별시 강남구 청담동 125-12
44,츄츄동물병원,📍 서울특별시 강남구 역삼동 834-66 이루미빌딩 1층
45,강남예치과동물병원,📍 서울특별시 강남구 삼성동 9-5 2층
46,치료멍멍동물병원 신사본원,"📍 서울특별시 강남구 신사동 630-23 삼공빌딩 2, 3층"
47,이리온동물병원,📍 서울특별시 강남구 청담동 97-1
48,이비치동물치과병원,📍 서울특별시 강남구 청담동 1-18 대성빌딩 2층
49,드림 동물병원,📍 서울특별시 강남구 역삼2동 771 뉴튼프라자 101호
50,나리울 동물병원,📍 서울특별시 강남구 일원동 743
51,에이드동물병원,"📍 서울특별시 강남구 신사동 586-3 1F, B1F"
52,개포별빛동물병원,📍 서울특별시 강남구 개포동 1229-11 동성빌딩 1층
53,압구정동물의료센터,📍 서울특별시 강남구 신사동 617 1층 103호
54,서울동물심장병원,📍 서울특별시 강남구 역삼동 689-2
55,압구정웰동물병원,"📍 서울특별시 강남구 신사동 528-3 덕산빌딩 105호, 203호"
56,위너스동물병원,📍 서울특별시 강남구 역삼동 732-26
57,동물병원 다온,📍 서울특별시 강남구 도곡동 545-6 동물병원다온
58,펫트너건강검진센터,📍 서울특별시 강남구 역삼동 725-29
59,굿파파 24시,📍 서울특별시 동작구 사당동 148-9
60,보라매 웰 종합 동물병원,📍 서울특별시 동작구 대방동 401-21 MGI빌딩 1층
61,지엔동물병원,📍 서울특별시 동작구 상도동 22-151 지엔동물병원
62,품 동물의료센터,📍 서울특별시 동작구 상도1동 623 1층
63,정겨운동물병원,📍 서울특별시 동작구 상도1동 261
64,유케어종합동물병원,📍 서울특별시 동작구 상도동 27-12 성은빌딩
65,피닉스 동물병원,📍 서울특별시 동작구 대방동 395-4 1층
66,세인트필립동물병원,📍 서울특별시 동작구 사당동 1047-49
67,이수동물병원,📍 서울특별시 동작구 사당동 162-96
68,나을동물병원,📍 서울특별시 동작구 사당동 248-5
