시군구명,도로명(가로)명,설치위치,설치지점,쓰레기통 종류
강남구,압구정로,청담톡스앤필의원,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,청담톡스앤필의원,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,갤러리아(EAST점),도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,갤러리아(EAST점),도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,갤러리아(WEST점),도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,갤러리아(WEST점),도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,갤러리아(생활관),"정류소(버스, 택시 등)",일반쓰레기
강남구,압구정로,갤러리아(생활관),"정류소(버스, 택시 등)",재활용쓰레기
강남구,압구정로,한양아파트 35동,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,한양아파트 35동,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,한양아파트 61동,"정류소(버스, 택시 등)",일반쓰레기
강남구,압구정로,한양아파트 61동,"정류소(버스, 택시 등)",재활용쓰레기
강남구,압구정로,현대아파트 91동,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,현대아파트 91동,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,현대아파트 84동,"정류소(버스, 택시 등)",일반쓰레기
강남구,압구정로,현대아파트 84동,"정류소(버스, 택시 등)",재활용쓰레기
강남구,압구정로,압구정역 1번출구,지하철역 입구,일반쓰레기
강남구,압구정로,압구정역 1번출구,지하철역 입구,재활용쓰레기
강남구,압구정로,신현대아파트 103동,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,신현대아파트 103동,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,국민은행ATM 현대365자동화점,"정류소(버스, 택시 등)",일반쓰레기
강남구,압구정로,국민은행ATM 현대365자동화점,"정류소(버스, 택시 등)",재활용쓰레기
강남구,압구정로,현대아파트 101동,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,현대아파트 101동,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,신사중학교,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,신사중학교,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,신사중학교,"정류소(버스, 택시 등)",일반쓰레기
강남구,압구정로,신사중학교,"정류소(버스, 택시 등)",재활용쓰레기
강남구,압구정로,미성2차 23동앞,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,미성2차 23동앞,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,덕산빌딩,"정류소(버스, 택시 등)",일반쓰레기
강남구,압구정로,덕산빌딩,"정류소(버스, 택시 등)",재활용쓰레기
강남구,압구정로,신사동사무소,도로변(횡단보도 포함),일반쓰레기
강남구,압구정로,신사동사무소,도로변(횡단보도 포함),재활용쓰레기
강남구,압구정로,대일부동산,"정류소(버스, 택시 등)",일반쓰레기
강남구,압구정로,대일부동산,"정류소(버스, 택시 등)",재활용쓰레기
