,매장명,주소
0,청담오후,📍 서울특별시 강남구 청담동 40-32 2층
1,뷰티그로서리,📍 서울특별시 강남구 신사동 648-16
2,비스트로상수,📍 서울특별시 강남구 개포동 1228-5
3,모스가든,📍 서울특별시 강남구 논현동 30-6
4,웨이크앤베이크 청담,📍 서울특별시 강남구 신사동 645-27
5,신사890,📍 서울특별시 강남구 신사동 514-21
6,조인바이트,📍 서울특별시 강남구 삼성동 36-11
7,FIREBELL,📍 서울특별시 강남구 대치동 908-17
8,윌로뜨,📍 서울특별시 강남구 청담동 19-17
9,압구정제주집,📍 서울특별시 강남구 신사동 588-12
10,롤린우드,📍 서울특별시 강남구 청담동 20-29
11,꽁티드툴레아,📍 서울특별시 강남구 신사동 646-21
12,SADDLER HAUS,📍 서울특별시 강남구 신사동 561-8
13,스케줄청담,📍 서울특별시 강남구 청담동 90-19
14,까폼,📍 서울특별시 강남구 신사동 655-15
15,까사밀,📍 서울특별시 강남구 신사동 527-2
16,문어랑 상록점,"📍 서울특별시 강남구 역삼동 699 1층,2층"
17,놀로스퀘어,📍 서울특별시 강남구 청담동 46 놀로스퀘어
18,세바,📍 서울특별시 강남구 신사동 629-1 1층
19,쏭타이 역삼점,📍 서울특별시 강남구 역삼동 664-32
20,Ginos NY Pizza 압구정점,📍 서울특별시 강남구 신사동 655-3 1층 지노스피자
21,킹박스,📍 서울특별시 강남구 논현동 21-16 1층
22,모터시티바이매니멀강남점,📍 서울특별시 강남구 역삼동 817-33 2층
23,하드워커,"📍 서울특별시 강남구 삼성동 153-32 1,2층"
24,더블트러블 유니온,📍 서울특별시 강남구 신사동 523-28
25,워커비,📍 서울특별시 강남구 신사동 652-11 지하1층
26,레브,📍 서울특별시 강남구 신사동 663 1층
27,크라이치즈버거 삼성역점,📍 서울특별시 강남구 대치동 996-17 미래에셋벤처타워 B1층
28,스페인클럽 가로수본점,📍 서울특별시 강남구 신사동 524-30
29,올데이피자 서비스,📍 서울특별시 강남구 신사동 559-10
30,UPPERWEST,📍 서울특별시 강남구 신사동 542-4
31,바 밀라,📍 서울특별시 강남구 청담동 12-12
32,사루비아,📍 서울특별시 강남구 신사동 542-3 1층
33,피더블유에이,📍 서울특별시 강남구 신사동 657-41 1층 PWA
34,뉴욕라츠오베이글스,📍 서울특별시 강남구 신사동 642-6
35,큰돈가 신사점,📍 서울특별시 서초구 잠원동 14-13
36,레옹앤마틸다,📍 서울특별시 강남구 신사동 555-25 102호
37,슈퍼막셰 커피앤델리 신사역점,📍 서울특별시 강남구 신사동 514-18 1층 슈퍼막셰 커피앤델리 신사역점
38,블랙루머 BLACK RUMOR,📍 서울특별시 강남구 신사동 660-17 A동 105호
39,페인팅룸,📍 서울특별시 강남구 신사동 644-13 은미르빌딩 B1 페인팅룸
40,메종 르자당,📍 서울특별시 강남구 신사동 650-14 2층
41,에드엣,📍 서울특별시 강남구 신사동 524-23 지하1층
42,카페드로우지,"📍 서울특별시 강남구 신사동 642-8 4층, 5층 루프탑"
43,미엘,📍 서울특별시 강남구 청담동 94-3 퍼즐하우스
44,핀치브런치바,📍 서울특별시 강남구 신사동 523-36
45,자매의 부엌,📍 서울특별시 강남구 신사동 520-7
46,달마시안,📍 서울특별시 강남구 신사동 634-17
47,틴틴,📍 서울특별시 강남구 역삼동 810-4
48,다운타우너 청담,📍 서울특별시 강남구 신사동 666-25
49,마사 타코,📍 서울특별시 강남구 신사동 524-29
50,어썸로즈,📍 서울특별시 강남구 신사동 520-7
51,위트앤미트 강남점,📍 서울특별시 강남구 역삼동 616-4 1층
52,에이치피 서울,📍 서울특별시 강남구 역삼동 812-13
53,호쿠모쿠,📍 서울특별시 강남구 신사동 660-14 1층
54,돈페페,📍 서울특별시 동작구 사당동 1031-4
55,비단콤마,📍 서울특별시 동작구 상도동 535
56,오마주,📍 서울특별시 동작구 사당동 1029-37 1층
57,아트나인&잇나인,📍 서울특별시 동작구 사당동 147-53
58,바이슨버거,📍 서울특별시 동작구 대방동 395-18 1층
59,3공간,📍 서울특별시 동작구 사당동 1019-21
60,빨간리본샌드위치,📍 서울특별시 동작구 사당동 316-18 청원빌딩 1층 빨간리본샌드위치
