,매장명,주소
0,펠트커피 도산공원점,📍 서울특별시 강남구 신사동 645-21
1,맘마미아,📍 서울특별시 강남구 신사동 645-26
2,정월,📍 서울특별시 강남구 역삼동 618-21
3,홍차가게 청담,📍 서울특별시 강남구 삼성동 57-11 1층
4,윌비 가로수길점,📍 서울특별시 강남구 신사동 517-4
5,뉴욕라츠오베이글스,📍 서울특별시 강남구 신사동 642-6
6,정다방,📍 서울특별시 강남구 역삼동 725-51
7,덴시티커피,📍 서울특별시 강남구 청담동 7-4
8,키쏘커피 파랑헌,📍 서울특별시 강남구 신사동 646-15
9,카페 레꼴뜨,📍 서울특별시 강남구 역삼동 681-58
10,카페 노티드 청담,📍 서울특별시 강남구 신사동 654-9
11,메이킷 카페,📍 서울특별시 강남구 삼성동 127-9
12,수목금토 카페,📍 서울특별시 강남구 논현동 25-6
13,아러바우트 신사,📍 서울특별시 강남구 신사동 545-18
14,카페엔바이콘 논현점,📍 서울특별시 강남구 논현동 4-18
15,RDBK 가로수,📍 서울특별시 강남구 신사동 546-3
16,그릭그릭,📍 인천광역시 중구 관동2가 1-8
17,웻커피 신사,📍 서울특별시 강남구 신사동 507-3 1층
18,바잇미 신사점,📍 서울특별시 강남구 신사동 525-22
19,우디집 도산점,📍 서울특별시 강남구 신사동 644-22
20,카페알케미,📍 서울특별시 강남구 일원동 646-4
21,겟썸커피,📍 서울특별시 강남구 역삼동 812-3
22,라이프커피앤티,📍 서울특별시 강남구 논현동 101-19
23,602dessert,📍 서울특별시 강남구 일원동 677-11
24,Small Batch Seoul,📍 서울특별시 강남구 신사동 634-8
25,커피휘엘,📍 서울특별시 강남구 논현동 4-21
26,삼삼공데이,📍 서울특별시 강남구 역삼동 642-6
27,까사디도노,📍 서울특별시 강남구 청담동 16-2 1층
28,마츄피츄,📍 서울특별시 강남구 논현동 254-22
29,카페키츠네,📍 서울특별시 강남구 신사동 535-13
30,그레인바운더리,📍 서울특별시 강남구 신사동 544-6
31,니블스,📍 서울특별시 강남구 신사동 551-11
32,어반81,📍 서울특별시 강남구 삼성동 46-8 101호.
33,빈터커피로스터스,📍 서울특별시 강남구 신사동 524 오로라빌 1층 101호
34,블랙루머 BLACK RUMOR,📍 서울특별시 강남구 신사동 660-17 A동 105호
35,페인팅룸,📍 서울특별시 강남구 신사동 644-13 은미르빌딩 B1 페인팅룸
36,메종 르자당,📍 서울특별시 강남구 신사동 650-14 2층
37,카페오터스,📍 서울특별시 강남구 삼성동 121-20 1층 101호
38,올디너리모먼트,📍 서울특별시 강남구 도곡동 517-8
39,요거티 강남본점,📍 서울특별시 강남구 역삼동 840-7 1층
40,Coffee Writer,📍 서울특별시 강남구 신사동 567-17
41,천장지구,📍 서울특별시 강남구 논현동 93-15 2층
42,누누커피,📍 서울특별시 강남구 삼성동 159 오크우드호텔 코엑스 별관 지하2층
43,르와조 역삼,📍 서울특별시 강남구 역삼동 640-21 1층
44,더스노우 대치본점,📍 서울특별시 강남구 대치동 907-1 코람벤처타운 1층
45,뇸,📍 서울특별시 강남구 역삼동 773-10 1층
46,바나나톡,📍 서울특별시 강남구 신사동 640-11 아트타워 1층
47,빠삐용빵,📍 서울특별시 강남구 논현동 32-18 k동 1층
48,라브리크 서울,📍 서울특별시 강남구 역삼동 619-10 라브리크
49,타우너스 에스프레소 바,📍 서울특별시 강남구 역삼동 725-57 타우너스 1층
50,에이엔아더,📍 서울특별시 강남구 논현동 116-7 지상 1층
51,스케줄청담,📍 서울특별시 강남구 청담동 90-19
52,더데이즈커피,📍 서울특별시 강남구 도곡동 413-3
53,달콤가든,📍 서울특별시 강남구 논현동 78-9
54,더포트,📍 서울특별시 강남구 청담동 130-23 1층
55,디어달리아 도산 플래그십 스토어,📍 서울특별시 강남구 신사동 650-16
56,가배도 신논현,📍 서울특별시 강남구 역삼동 601-12
57,구테로이테,📍 서울특별시 강남구 논현동 112-19
58,이웃집통통이 로데오점,📍 서울특별시 강남구 신사동 662-9 1층
59,더스노우 논현점,📍 서울특별시 강남구 논현동 185-1
60,식물학,📍 서울특별시 강남구 신사동 516-16 1층 카페 식물학
61,아가젤라또,📍 서울특별시 강남구 신사동 564-3 1층
62,아이엠씨,📍 서울특별시 강남구 청담동 118-17 네이처 포엠 지하1층
63,한남베르그 도산,📍 서울특별시 강남구 신사동 647-14 1층 105호
64,소적두 압구정점,📍 서울특별시 강남구 신사동 660-18 원일빌딩 1층
65,레옹앤마틸다,📍 서울특별시 강남구 신사동 555-25 102호
66,슈퍼막셰 커피앤델리 신사역점,📍 서울특별시 강남구 신사동 514-18 1층 슈퍼막셰 커피앤델리 신사역점
67,BELOW SINSA,📍 서울특별시 강남구 신사동 551-11 1층 101호
68,머치커피,📍 서울특별시 동작구 사당동 1026-35
69,먼셀커피 이수점,📍 서울특별시 동작구 사당동 324-16 1층
70,보트커피,📍 서울특별시 동작구 상도동 184-4
71,웨스트빙고,📍 서울특별시 동작구 동작대로13길 6 1층
72,바이엠,📍 서울특별시 동작구 상도동 32-6
73,자매커피,📍 서울특별시 동작구 사당동 1040-2
74,카페왓송,📍 서울특별시 동작구 사당동 1028-13
75,요거프레소 사당점,📍 서울특별시 동작구 사당동 312-9
76,시너리,📍 서울특별시 동작구 사당로25가길 1
77,우부래도,📍 서울특별시 동작구 상도1동 666-3
78,레스트어와일,📍 서울특별시 동작구 신대방동 344-136
79,카페브르브르,📍 서울특별시 동작구 사당동 141-48
80,위드버터,📍 서울특별시 동작구 사당동 1033-2
81,토크넌센스,📍 서울특별시 동작구 흑석동 223-15
82,헤븐리가든,📍 서울특별시 동작구 상도동 29-2
83,멜로우무드,📍 서울특별시 동작구 사당동 1034-15
84,카페알코브,📍 서울특별시 동작구 대방동 391-357
85,이수카페 사이,📍 서울특별시 동작구 사당동 1006-20
86,ARTS(아츠),📍 서울특별시 동작구 현충로 52
87,오티움 로스터리,📍 서울특별시 동작구 상도1동 622 1층
88,미지수카페,📍 서울특별시 동작구 사당동 188-1
89,에이치플레이스,📍 서울특별시 동작구 대방동 386-28
90,카페익스큐즈미,📍 서울특별시 동작구 대방동 399-7
91,웨이사이드,📍 서울특별시 동작구 상도1동 319-3 세웅빌딩 2층
92,유별커피,📍 서울특별시 동작구 사당동 262-21
93,카페플랫,📍 서울특별시 동작구 대방동 385-22 1층 101호
94,서브젝트 커피,📍 서울특별시 동작구 상도동 28-26 1층 서브젝트 커피
95,앳더스크,📍 서울특별시 동작구 사당동 141-44 앳더스크
96,요굿트,📍 서울특별시 동작구 사당동 141-45
97,카페 헷지,📍 서울특별시 동작구 상도동 308-9 1층 카페헷지
98,본디,📍 서울특별시 동작구 대방동 340-3 1층 스타트업매장 4호
99,고미제과,📍 서울특별시 동작구 노량진동 123-37 1층 102호 고미제과
100,파니모들,📍 서울특별시 동작구 사당동 79-3 원옥빌딩 1층
101,키키젤라또,📍 서울특별시 동작구 사당동 1044-18 1층
102,기역니은디귿제빵점,📍 서울특별시 동작구 신대방동 360-224 ㄱㄴㄷ제빵점
103,잔디속에있다고상상을해,📍 서울특별시 동작구 상도1동 691 2층
104,배추공주와페키들의감성놀이터,📍 서울특별시 동작구 상도동 490-6
105,히뽀1997,📍 서울특별시 동작구 본동 126-125
106,카페희희,📍 서울특별시 동작구 상도동 256-1 B06호
