,매장명,주소
0,펫타리움,"📍 서울특별시 강남구 청담동 68-7 6, 7층"
1,강아지똥 애견카페,📍 서울특별시 강남구 논현동 170
2,카페더왈츠,📍 서울특별시 강남구 역삼동 834-8
3,봉브라더스,📍 서울특별시 강남구 논현동 181-12 2층
4,전설의 강아지,📍 서울특별시 강남구 논현동 265-23
5,반려문화,📍 서울특별시 강남구 논현동 85-13
6,애니멀 고 파크,📍 서울특별시 강남구 삼성동 60-24
7,다독인더 시티,📍 서울특별시 강남구 역삼동 608-23
8,두젠틀,📍 서울특별시 강남구 역삼동 667-10
9,어야가자애견카페,📍 서울특별시 강남구 역삼동 662-1
10,개러리아 삼성본점,📍 서울특별시 강남구 삼성동 9-16
11,글램독 그라운드 삼성점,📍 서울특별시 강남구 삼성동 152-69 1층 글램독 그라운드 삼성점
12,멍돌핀 애견카페,📍 서울특별시 강남구 논현동 170-28 2층 멍돌핀
13,드도그카페,📍 서울특별시 강남구 삼성동 150-19 2층 드도그카페
14,애니멀고파크 논현점,📍 서울특별시 강남구 논현동 256-14
15,놀로스퀘어,📍 서울특별시 강남구 청담동 46 놀로스퀘어
16,감성놀이터,📍 서울특별시 동작구 상도로58길 4
17,두젠틀장승배기역점,📍 서울특별시 동작구 상도동 26-27
18,웰컴댕댕,📍 서울특별시 동작구 대방동 17-20 2층 웰컴댕댕
19,한끼멍냥,📍 서울특별시 동작구 신대방동 692-65 2층
