이름,주소,lat,lng
24시청담우리동물병원,서울특별시 강남구 삼성동 70-6,37.5144891876279,127.052855522666
SNC동물메디컬센터,서울특별시 강남구 역삼동 727-8,37.4974250583523,127.038921170099
우쭈쭈 케어센터,서울특별시 강남구 역삼동 725-29 우쭈쭈 케어센터,37.49992057943,127.040517140309
아이윌24시 동물병원,서울특별시 강남구 청담동 47,37.5196504561572,127.049192628506
VIP동물의료센터,서울특별시 강남구 청담동 46,37.5194408603474,127.049030052105
논현동물병원 24시,서울특별시 강남구 논현동 59-5,37.5196340689471,127.029022552346
디아동물병원,서울특별시 강남구 개포동 158-8 2층,37.4827752463405,127.06221666493
튼튼동물병원,서울특별시 강남구 압구정동 426,37.5262225982289,127.024479347433
순수동물병원,서울특별시 강남구 논현동 149-6,37.5107911766133,127.027861941683
닥터박동물병원,서울특별시 강남구 역삼동 641-10 1층,37.5025499118837,127.035717178228
우리동생 동물병원 청담점,서울특별시 강남구 청담동 76-12 라테라스 청담 1층 우리동생 동물병원 청담점,37.5197379359325,127.050491749038
얼바인동물병원,서울특별시 강남구 자곡동 670 강남센터뷰오피스텔 1층 103호,37.4744264060166,127.107107739628
다랑동물병원,"서울특별시 강남구 개포동 1281 디에이치아너힐즈 상가 103호, 104호",37.4839883187894,127.067391885665
강남25시동물병원,서울특별시 강남구 논현동 90-6,37.515596849988,127.035015985678
동물치과병원메이,서울특별시 강남구 역삼동 827-67 2층,37.4958621158089,127.032226953954
하나카동물병원,서울특별시 강남구 역삼동 834-45,37.4942258146193,127.034710073023
아이힐동물병원,서울특별시 강남구 역삼동 838-9 거암빌딩 2층,37.4902314214595,127.032989825577
메이트 동물병원,서울특별시 강남구 신사동 660-7,37.5282063287698,127.037822240017
놀로스퀘어,서울특별시 강남구 청담동 46 놀로스퀘어,37.5104878396848,127.024897787783
와이즈동물병원,서울특별시 강남구 논현동 139-32,37.4720227727048,127.096006332412
퍼스트동물의료센터,서울특별시 강남구 자곡동 636 서강프라자 2층 201호,37.4994161088144,127.063444702717
대치동물메디컬센터,서울특별시 강남구 대치동 990-1,37.4936062982175,127.059699894299
대치성심동물병원,서울특별시 강남구 대치동 623 1층 69-1호,37.4886726430993,127.052102242886
닥터그레이 동물병원,서울특별시 강남구 도곡동 467-7 아카데미스위트 A동 1층 104-1호,37.4909718160033,127.087510644954
임재성동물의료센터,"서울특별시 강남구 일원동 645-11 1층, 지층",37.479166654537,127.049131142915
나은동물병원,서울특별시 강남구 개포동 1259-4,37.474232887884,127.049820349123
한동물병원 개포점,서울특별시 강남구 개포동 1187-1 1층,37.5068699825093,127.046757341658
선릉동물병원,서울특별시 강남구 역삼동 694-11 1층 선릉동물병원,37.5164983354213,127.059487146043
중앙동물메디컬센터,서울특별시 강남구 삼성동 90-8 1~4층,37.4657820119442,127.101191204952
마더스동물병원,서울특별시 강남구 세곡동 581,37.5252696226449,126.85946470682
신정동물병원,서울특별시 양천구 신정동 987-3,37.52450387964,127.052758963247
청담리덴 동물치과병원,서울특별시 강남구 청담동 52-6 3층,37.4747358842819,127.104817531927
힐스타동물병원,서울특별시 강남구 자곡동 658 강남힐스테이트에코,37.5242820233375,127.04475512458
이리온동물병원,서울특별시 강남구 청담동 97-1,37.5319760183273,127.028563016169
신사동물병원,서울특별시 강남구 논현동 59-5,37.4924314025922,127.04001645499
봄사랑동물병원,서울특별시 강남구 압구정동 455 주구센타 제1호내 203호,37.5207269265976,127.029980204631
예은동물병원,서울특별시 강남구 역삼동 798-20 1층,37.4927105864473,127.057747557557
스마트 동물병원 신사본원,서울특별시 강남구 신사동 587-13,37.5022533897401,127.050318362612
래이동물의료센터,서울특별시 강남구 대치동 649,37.5089726805769,127.026684653663
스마트 동물병원,서울특별시 강남구 대치동 898 갑신빌딩 1층,37.4955791312545,127.049810439052
커비동물병원,서울특별시 강남구 논현동 159-23,37.5238659730783,127.03961885941
OK동물병원,서울특별시 강남구 역삼동 766-20 1층 OK동물병원,37.5251559046079,127.052625026861
이안동물의학센터,서울특별시 강남구 청담동 86 킹콩빌딩 5층,37.4931660166184,127.035430010862
청담눈초롱안과동물병원,서울특별시 강남구 청담동 125-12,37.515137890745,127.042652558522
츄츄동물병원,서울특별시 강남구 역삼동 834-66 이루미빌딩 1층,37.5223809064925,127.035173908727
강남예치과동물병원,서울특별시 강남구 삼성동 9-5 2층,37.522265685888,127.039668239907
치료멍멍동물병원 신사본원,"서울특별시 강남구 신사동 630-23 삼공빌딩 2, 3층",37.4970901086037,127.04220306877
이리온동물병원,서울특별시 강남구 청담동 97-1,37.490811622259,127.075203973275
이비치동물치과병원,서울특별시 강남구 청담동 1-18 대성빌딩 2층,37.5212021209527,127.027745790475
드림 동물병원,서울특별시 강남구 역삼2동 771 뉴튼프라자 101호,37.4764434083138,127.046318608939
