관리번호,위도,경도
가락지하차도-01,37.495254,127.107417
가락지하차도-02,37.495354,127.107755
가락지하차도-03,37.495443,127.108073
가락지하차도-04,37.495551,127.10841
가락지하차도-05,37.495654,127.108736
가락지하차도-06,37.495795,127.109195
가락지하차도-07,37.495891,127.109492
가락지하차도-08,37.495987,127.109805
가락지하차도-09,37.496093,127.110142
가락지하차도-10,37.496197,127.11048
가락지하차도-11,37.496356,127.11041
가락지하차도-12,37.496255,127.110073
가락지하차도-13,37.496144,127.109736
가락지하차도-14,37.49605,127.109421
가락지하차도-15,37.495962,127.109123
가락지하차도-16,37.495821,127.108658
가락지하차도-17,37.495723,127.108339
가락지하차도-18,37.495619,127.108005
가락지하차도-19,37.495505,127.107669
가락지하차도-20,37.495414,127.107348
가마산고가차도-01,37.492208,126.882247
가마산고가차도-02,37.492451,126.882341
가마산고가차도-03,37.492676,126.882452
가마산고가차도-04,37.492829,126.882691
가마산고가차도-05,37.492895,126.882976
가마산고가차도-06,37.493023,126.882904
가마산고가차도-07,37.492943,126.882584
가마산고가차도-08,37.492737,126.882285
가마산고가차도-09,37.492485,126.882164
가마산고가차도-10,37.492241,126.88207
가마산지하차도-01,37.486607,126.878862
가마산지하차도-02,37.48677,126.879122
가마산지하차도-03,37.486935,126.879354
가마산지하차도-04,37.487085,126.879551
가마산지하차도-05,37.487239,126.879726
가마산지하차도-06,37.488591,126.880704
가마산지하차도-07,37.488882,126.880811
가마산지하차도-08,37.489153,126.88094
가마산지하차도-09,37.489424,126.881064
가마산지하차도-10,37.489678,126.881181
가마산지하차도-11,37.489725,126.881013
가마산지하차도-12,37.489448,126.880902
가마산지하차도-13,37.489175,126.880779
가마산지하차도-14,37.488894,126.880659
가마산지하차도-15,37.488607,126.880537
가마산지하차도-16,37.487349,126.879562
가마산지하차도-17,37.487221,126.879355
가마산지하차도-18,37.487028,126.879235
가마산지하차도-19,37.486844,126.879017
가마산지하차도-20,37.486668,126.878747
가양대교남단_상-01,37.562224,126.855889
가양대교남단_상-02,37.562387,126.855993
가양대교남단_상-03,37.562574,126.856115
가양대교남단_상-04,37.562771,126.856239
가양대교남단_상-05,37.562966,126.85637
가양대교남단_상-06,37.563157,126.856504
가양대교남단_상-07,37.563319,126.856621
가양대교남단_상-08,37.563571,126.856807
가양대교남단_상-09,37.563756,126.856944
가양대교남단_상-10,37.563951,126.857091
가양대교남단_상-11,37.564141,126.857235
가양대교남단_상-12,37.564301,126.857358
가양대교남단_상-13,37.564475,126.857488
가양대교남단_상-14,37.564632,126.857607
가양대교남단_상-15,37.564797,126.857732
가양대교남단_상-16,37.564981,126.857871
가양대교남단_상-17,37.565169,126.858014
가양대교남단_상-18,37.565393,126.858184
가양대교남단_상-19,37.565581,126.858324
가양대교남단_상-20,37.565774,126.858468
가양대교남단_상-21,37.56598,126.85862
가양대교남단_상-22,37.56623,126.858807
가양대교남단_상-23,37.566441,126.858965
가양대교남단_상-24,37.566638,126.859112
가양대교남단_상-25,37.566858,126.859276
가양대교남단_상-26,37.567077,126.859541
가양대교남단_상-27,37.567287,126.859697
가양대교남단_상-28,37.56752,126.859869
가양대교남단_상-29,37.567734,126.860013
가양대교남단_상-30,37.567948,126.860151
가양대교남단_상-31,37.568161,126.860306
가양대교남단_상-32,37.568392,126.860477
가양대교남단_상-33,37.568598,126.860628
