이름,음식이 맛있어요,인테리어가 멋져요,친절해요,가성비가 좋아요,재료가 신선해요,뷰가 좋아요,매장이 청결해요,특별한 날 가기 좋아요,혼밥하기 좋아요,특별한 메뉴가 있어요,단체모임 하기 좋아요,양이 많아요,매장이 넓어요,화장실이 깨끗해요,주차하기 편해요,대화하기 좋아요,오래 머무르기 좋아요,음악이 좋아요,술이 다양해요,차분한 분위기에요,아늑해요,고기 질이 좋아요,사진이 잘 나와요,혼술하기 좋아요,음료가 맛있어요,기본 안주가 좋아요,빵이 맛있어요,커피가 맛있어요,집중하기 좋아요,좌석이 편해요,디저트가 맛있어요,비싼 만큼 가치있어요,룸이 잘 되어있어요,반려동물과 가기 좋아요,현지 맛에 가까워요,메뉴 구성이 알차요,야외 공간이 멋져요,컨셉이 독특해요,점수
청담오후,0.0252,0.0144,0.0123428571428571,0.00925714285714286,0.00617142857142857,0.00617142857142857,0.00565714285714286,0.00411428571428571,0.0036,0.00308571428571429,0.00257142857142857,0.00154285714285714,0.00102857142857143,0.000514285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0956571428571428
뷰티그로서리,0.0219916666666667,0.00606666666666667,0.00480277777777778,0.00126388888888889,0.0169361111111111,0.00101111111111111,0.00328611111111111,0.000505555555555556,0.00631944444444444,0.01365,0,0.00252777777777778,0.00303333333333333,0.000758333333333333,0.000505555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826583333333334
비스트로상수,0.038525,0.016675,0.02875,0.004025,0.01725,0.0023,0.0161,0.012075,0.005175,0.01495,0.0023,0.0046,0.0092,0.010925,0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184
모스가든,0.0174406779661017,0.0168593220338983,0.00959237288135593,0.000872033898305085,0.00842966101694915,0.00930169491525424,0.00261610169491525,0.00872033898305085,0,0.0101737288135593,0.00406949152542373,0,0.0101737288135593,0.00232542372881356,0.00290677966101695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103481355932203
신사890,0.0777487964989059,0.0625330415754923,0.0629041575492341,0.0063089715536105,0.0128035010940919,0.00835010940919037,0.0282048140043764,0.0371115973741794,0.000371115973741794,0.0256070021881838,0.0064945295404814,0.00853566739606127,0.00779343544857768,0.0167002188183807,0.000742231947483589,0.00705120350109409,0.00612341356673961,0.00538118161925602,0.00519562363238512,0.00352560175054705,0.00334004376367615,0.00241225382932166,0.00241225382932166,0.00148446389496718,0.00129890590809628,0.00111334792122538,0,0,0,0,0,0,0,0,0,0,0,0,0.401547483588621
조인바이트,0.0288212598425197,0.0307311023622047,0.0121535433070866,0.00260433070866142,0.00850748031496063,0.011111811023622,0.00729212598425197,0.016494094488189,0,0.00763937007874016,0.00989645669291339,0.00243070866141732,0.00468779527559055,0.00190984251968504,0.00243070866141732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14671062992126
FIREBELL 대치본점,0.0780904761904762,0.0104960317460317,0.0130150793650794,0.0041984126984127,0.0188928571428571,0.00209920634920635,0.0130150793650794,0.00125952380952381,0.0226714285714286,0.0134349206349206,0.00167936507936508,0.0100761904761905,0.0167936507936508,0.00167936507936508,0.00293888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210340476190476
윌로뜨,0.0268579185520362,0.0134289592760181,0.0225076923076923,0.00245882352941176,0.0181574660633484,0.000378280542986425,0.012483257918552,0.0251556561085973,0.000567420814479638,0.0247773755656109,0.000945701357466063,0.000567420814479638,0.00170226244343891,0.00775475113122172,0.0015131221719457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159256108597285
압구정제주집,0.134258003442341,0.0141590361445783,0.0889996557659208,0.0295822719449225,0.0682667814113597,0.00126419965576592,0.0399487091222031,0.00758519793459552,0.00530963855421687,0.0485452667814114,0.0202271944922547,0.0326163511187608,0.0154232358003442,0.00733235800344234,0.00834371772805508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521861617900172
롤린우드,0,0.0144344827586207,0.0051816091954023,0.000740229885057471,0,0.00259080459770115,0.0103632183908046,0,0,0.00888275862068966,0,0,0,0.00222068965517241,0.000370114942528736,0.0051816091954023,0,0,0,0,0,0,0.00666206896551724,0,0.0051816091954023,0,0.0148045977011494,0.0118436781609195,0.00185057471264368,0.00111034482758621,0,0,0,0,0,0,0,0,0.0914183908045977
