name,address,lat,lng,category,,
구정빌딩,서울특별시 논현로 868 (개방화장실),37.526085 ,127.028885 ,1,,
중산빌딩,서울특별시 논현로 878 (개방화장실),37.527091 ,127.028952 ,1,,1 = 화장실
백영신사빌딩,서울특별시 도산대로 307 (개방화장실),37.522276 ,127.034897 ,1,,2 = 무료 반려견 운동장
압구정주유소,서울특별시 언주로842 (개방화장실),37.525347 ,127.033803 ,1,,3 = 동물병원
한양주유소,서울특별시 압구정로 302 (개방화장실),37.528808 ,127.034161 ,1,,4 = 쓰레기통
반도상가,서울특별시 압구정로 306 (개방화장실),37.528855 ,127.034753 ,1,,5 = 애견동반식당 
쌍봉빌딩,서울특별시 언주로 874 (개방화장실),37.528589 ,127.034134 ,1,,6 = 애견카페
씨네시티,서울특별시 도산대로 323 (개방화장실),37.522897 ,127.037016 ,1,,7 = 애견동반카페
한양타운,서울특별시 선릉로 823 (개방화장실),37.525636 ,127.039343 ,1,,8 = 공원
배강빌딩,서울특별시 선릉로 801 (개방화장실),37.523572 ,127.038833 ,1,,
현대상가 4동,서울특별시 압구정로29길 71 (개방화장실),37.533603 ,127.028326 ,1,,
현대상가 10차동,서울특별시 압구정로29길 69 (개방화장실),37.531086 ,127.025109 ,1,,
주구 1상가,서울특별시 압구정로29길 68 (개방화장실),37.532536 ,127.029187 ,1,,
주구 2상가,서울특별시 압구정로29길 68 (개방화장실),37.531534 ,127.029273 ,1,,
금강쇼핑센터,서울특별시 압구정로 201 (개방화장실),37.501578 ,127.036157 ,1,,
성지하이츠 3차 오피스텔,서울특별시 논현로 507 (개방화장실),37.500849 ,127.035677 ,1,,
성지하이츠 2차 오피스텔,서울특별시 테헤란로 147 (개방화장실),37.507440 ,127.035249 ,1,,
송산빌딩,서울특별시 봉은사로 210 (개방화장실),37.502734 ,127.036487 ,1,,
GS칼텍스 타워주유소,서울특별시 논현로 516 (개방화장실),37.501995 ,127.037336 ,1,,
GS타워,서울특별시 논현로 508 (개방화장실),37.504697 ,127.048013 ,1,,
신도벤처타워,서울특별시 테헤란로 333 (개방화장실),37.502627 ,127.045014 ,1,,
㈜동산빌딩 대아빌딩점,서울특별시 테헤란로 44길 5 (개방화장실),37.499744 ,127.034955 ,1,,
아크플레이스(구 캐피탈타워),서울특별시 테헤란로 142 (개방화장실),37.498565 ,127.035027 ,1,,
LG 에클라트 오피스텔,서울특별시 테헤란로20길 19 (개방화장실),37.497651 ,127.036613 ,1,,
